date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-03-04,MX_SON,0,0,,0,0,,,,
2020-03-04,MX_TAB,0,0,,0,0,,,,
2020-03-04,MX_TAM,0,0,,0,0,,,,
2020-03-04,MX_TLA,0,0,,0,0,,,,
2020-03-04,MX_VER,0,0,,0,0,,,,
2020-03-04,MX_YUC,0,0,,0,0,,,,
2020-03-04,MX_ZAC,0,0,,0,0,,,,
2020-03-04,PH_00,2,4,,,,,,,
2020-03-04,PH_03,1,1,,,,,,,
2020-03-04,PH_03_BUL,1,1,,,,,,,
2020-03-05,AR,8,66,,3,12,,,,
2020-03-05,AR_B,6,21,,1,5,,,,
2020-03-05,AR_B_028,1,1,,0,0,,,,
2020-03-05,AR_B_441,1,2,,1,2,,,,
2020-03-05,AR_B_515,1,1,,0,0,,,,
2020-03-05,AR_B_756,1,1,,0,0,,,,
2020-03-05,AR_B_763,1,1,,0,0,,,,
2020-03-05,AR_B_791,1,1,,0,0,,,,
2020-03-05,AR_C,1,26,,0,4,,,,
2020-03-05,AR_C_011,1,1,,0,0,,,,
2020-03-05,AR_M,1,6,,1,2,,,,
2020-03-05,AR_M_063,1,1,,1,1,,,,
2020-03-05,AR_R,0,1,,1,1,,,,
2020-03-05,AR_R_042,0,1,,1,1,,,,
2020-03-05,CH_BL,0,1,,0,0,,,,
2020-03-05,CH_BS,,1,,,,,,,
2020-03-05,CH_GE,1,5,,0,0,,0,0,
2020-03-05,CH_GR,0,0,,0,0,,0,0,
2020-03-05,CH_JU,1,2,,0,0,,,,
2020-03-05,CH_NE,0,4,,,,,,,
2020-03-05,CH_TI,0,0,,0,0,,0,0,
2020-03-05,CH_VD,3,14,,0,1,,,,
2020-03-05,CH_VS,-2,11,,0,0,,0,0,
2020-03-05,CH_ZG,0,0,,0,0,,,,
2020-03-05,ES_AS,3,4,,0,1,,,,
2020-03-05,ES_VC,13,130,,2,8,,,,
2020-03-05,LU,,,,,,0,,,
2020-03-05,MX,0,5,,0,1,,,,
2020-03-05,MX_AGU,0,0,,0,0,,,,
2020-03-05,MX_BCN,0,0,,0,0,,,,
2020-03-05,MX_BCS,0,0,,0,0,,,,
2020-03-05,MX_CAM,0,0,,0,0,,,,
2020-03-05,MX_CHH,0,0,,0,0,,,,
2020-03-05,MX_CHP,0,0,,0,0,,,,
2020-03-05,MX_CMX,0,3,,0,1,,,,
2020-03-05,MX_COA,0,0,,0,0,,,,
2020-03-05,MX_COL,0,0,,0,0,,,,
2020-03-05,MX_DUR,0,0,,0,0,,,,
2020-03-05,MX_GRO,0,0,,0,0,,,,
2020-03-05,MX_GUA,0,0,,0,0,,,,
2020-03-05,MX_HID,0,0,,0,0,,,,
2020-03-05,MX_JAL,0,0,,0,0,,,,
2020-03-05,MX_MEX,0,2,,0,0,,,,
2020-03-05,MX_MIC,0,0,,0,0,,,,
2020-03-05,MX_MOR,0,0,,0,0,,,,
2020-03-05,MX_NAY,0,0,,0,0,,,,
2020-03-05,MX_NLE,0,0,,0,0,,,,
