date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-31,US_OK_40087,39.68,,,7,,,16,-12,
2020-05-31,US_OK_40089,302.32,,,40,,,,-10,
2020-05-31,US_OK_40091,117.09,,,,,,42,-6,
2020-05-31,US_OK_40095,137.89,,,,,,,,
2020-05-31,US_OK_40097,82.57,,,20,37,,,-9,
2020-05-31,US_OK_40099,193.35,,,,,,,-11,
2020-05-31,US_OK_40101,26.57,,,10,17,,31,-5,1
2020-05-31,US_OK_40103,46.66,,,,,,,,
2020-05-31,US_OK_40109,11.43,,,-7,4,76,-11,-11,2
2020-05-31,US_OK_40111,27.28,,,12,5,,,-5,
2020-05-31,US_OK_40113,89.6,,,5,,,,-13,
2020-05-31,US_OK_40115,67.37,,,28,,,,-13,
2020-05-31,US_OK_40117,45.04,,,,,,,,
2020-05-31,US_OK_40119,-22.21,,,-12,5,,,-8,2
2020-05-31,US_OK_40121,52.1,,,-6,25,,1,-10,
2020-05-31,US_OK_40123,-0.29,,,3,6,,,-13,
2020-05-31,US_OK_40125,30.42,,,1,1,5,,-4,1
2020-05-31,US_OK_40131,30.04,,,4,18,,,-14,0
2020-05-31,US_OK_40133,22.15,,,,,,,-1,
2020-05-31,US_OK_40135,68.48,,,18,,,56,-11,
2020-05-31,US_OK_40137,16.69,,,13,,,,-15,
2020-05-31,US_OK_40139,14.99,,,,,,-8,-6,
2020-05-31,US_OK_40143,16.06,,,-7,2,26,2,-11,2
2020-05-31,US_OK_40145,44.23,,,13,,,,-13,
2020-05-31,US_OK_40147,35.05,,,2,4,,,-12,
2020-05-31,US_OK_40149,38.49,,,,,,,,
2020-05-31,US_OK_40153,36.63,,,,,,,-9,
2020-05-31,US_OR,-1.7,,,-20,-2,48,-20,-17,5
2020-05-31,US_OR_41001,,,,,,,,-14,
2020-05-31,US_OR_41003,-7.04,,,-37,-18,30,,-20,8
2020-05-31,US_OR_41005,-9.21,,,-19,-7,36,-5,-21,7
2020-05-31,US_OR_41007,175.63,,,17,31,81,,-14,
2020-05-31,US_OR_41009,39.35,,,-2,5,,,-14,
2020-05-31,US_OR_41011,48.97,,,8,11,57,,-13,4
2020-05-31,US_OR_41013,84.53,,,40,,,,-9,
2020-05-31,US_OR_41015,80.78,,,18,,52,,-14,
2020-05-31,US_OR_41017,55.34,,,-4,5,101,-47,-13,2
2020-05-31,US_OR_41019,89.31,,,5,9,83,19,-9,3
2020-05-31,US_OR_41027,117.26,,,-5,,,,-27,
2020-05-31,US_OR_41029,26.12,,,-10,3,91,-29,-10,3
2020-05-31,US_OR_41031,159.72,,,51,,,,-23,
2020-05-31,US_OR_41033,58.58,,,6,13,78,,-8,2
2020-05-31,US_OR_41035,98.08,,,6,18,,74,-9,1
2020-05-31,US_OR_41039,10.33,,,-20,2,66,-33,-19,5
2020-05-31,US_OR_41041,123.61,,,-2,10,17,,-16,
2020-05-31,US_OR_41043,27.18,,,0,7,92,23,-13,4
2020-05-31,US_OR_41045,113.04,,,7,16,,47,6,
2020-05-31,US_OR_41047,6.72,,,-14,3,63,0,-15,5
2020-05-31,US_OR_41049,,,,,,,21,-15,
2020-05-31,US_OR_41051,-25.99,,,-46,-13,30,-44,-25,8
2020-05-31,US_OR_41053,25,,,-1,8,,,-20,4
2020-05-31,US_OR_41055,,,,,,,28,,
2020-05-31,US_OR_41057,191.93,,,1,,50,,-6,
2020-05-31,US_OR_41059,92.71,,,13,32,64,28,-10,-1
2020-05-31,US_OR_41061,114.62,,,10,,,,0,
2020-05-31,US_OR_41065,100.14,,,17,19,,,-9,
2020-05-31,US_OR_41067,-21.5,,,-34,-11,35,-31,-21,8
2020-05-31,US_OR_41071,27.98,,,-2,0,75,,-18,4
2020-05-31,US_PA,-2.5,,,-24,-6,142,-34,-16,5
2020-05-31,US_PA_42001,31.17,,,-16,14,,,-14,3
2020-05-31,US_PA_42003,-13.9,,,-32,-9,119,-39,-20,4
2020-05-31,US_PA_42005,47.65,,,1,0,,,-6,
2020-05-31,US_PA_42007,8.44,,,-15,-3,,,-13,3
2020-05-31,US_PA_42009,63.25,,,13,30,,-3,-4,
2020-05-31,US_PA_42011,9.45,,,-21,-2,182,-2,-16,5
2020-05-31,US_PA_42013,10.2,,,-11,10,,,-7,1
2020-05-31,US_PA_42015,19.55,,,12,22,,,0,
2020-05-31,US_PA_42017,4.9,,,-28,-9,325,-36,-15,6
2020-05-31,US_PA_42019,12.08,,,-21,-14,,31,-13,3
2020-05-31,US_PA_42021,8.74,,,-5,13,,,-5,1
2020-05-31,US_PA_42025,69.42,,,1,14,,,-15,
2020-05-31,US_PA_42027,-53.75,,,-32,-6,,-16,-22,5
2020-05-31,US_PA_42029,-14.48,,,-34,-13,74,-41,-13,7
2020-05-31,US_PA_42031,42.89,,,14,,,,-14,
2020-05-31,US_PA_42033,36.37,,,17,24,,14,-3,0
2020-05-31,US_PA_42035,23.38,,,-1,,,-9,-4,
2020-05-31,US_PA_42037,44.92,,,-7,6,,10,-4,
2020-05-31,US_PA_42039,39.09,,,23,31,,,-8,1
2020-05-31,US_PA_42041,5.09,,,-23,-5,209,-3,-12,4
2020-05-31,US_PA_42043,-8.74,,,-28,-8,159,-33,-14,5
2020-05-31,US_PA_42045,-17.17,,,-34,-11,174,-39,-20,8
2020-05-31,US_PA_42047,64.95,,,,,,,-14,
2020-05-31,US_PA_42049,13.85,,,-19,16,,-6,-13,3
2020-05-31,US_PA_42051,49.34,,,-6,20,,,-11,1
2020-05-31,US_PA_42055,19.2,,,-14,6,,,-14,2
2020-05-31,US_PA_42057,71.57,,,,,,-24,,
2020-05-31,US_PA_42059,5.37,,,,,,,1,
2020-05-31,US_PA_42061,95.24,,,,,,,-2,
2020-05-31,US_PA_42063,10.52,,,-13,3,,,-8,
2020-05-31,US_PA_42065,46.22,,,,19,,27,-2,
2020-05-31,US_PA_42067,22.03,,,,,,,-15,
2020-05-31,US_PA_42069,22.27,,,-21,-3,,-4,-12,4
2020-05-31,US_PA_42071,-2.86,,,-30,-5,,,-18,5
2020-05-31,US_PA_42073,32.51,,,15,12,,,-7,1
2020-05-31,US_PA_42075,15.81,,,-9,14,,-4,-12,3
2020-05-31,US_PA_42077,-2.36,,,-31,-5,154,-21,-12,6
2020-05-31,US_PA_42079,14.83,,,-12,2,198,10,-10,4
2020-05-31,US_PA_42081,7.55,,,-11,0,105,-1,-7,1
2020-05-31,US_PA_42083,48.4,,,0,,,,-6,
2020-05-31,US_PA_42085,31.82,,,-7,11,,,-14,2
2020-05-31,US_PA_42087,7.02,,,0,,,,-7,
2020-05-31,US_PA_42089,30.46,,,-21,3,67,-29,-20,6
2020-05-31,US_PA_42091,-21.19,,,-43,-17,,-54,-18,8
2020-05-31,US_PA_42093,-0.9,,,,,,,-14,
2020-05-31,US_PA_42095,0.89,,,-29,-10,257,-5,-13,6
2020-05-31,US_PA_42097,25.25,,,-4,15,,,-3,1
2020-05-31,US_PA_42099,59.51,,,,18,,,-2,
2020-05-31,US_PA_42101,-9.77,,,-48,-30,0,-49,-28,9
2020-05-31,US_PA_42103,112.68,,,12,,,,-2,
2020-05-31,US_PA_42107,37.6,,,0,16,,,-7,2
2020-05-31,US_PA_42109,40.34,,,5,9,,,-7,
2020-05-31,US_PA_42111,69.07,,,1,17,,-16,-8,
2020-05-31,US_PA_42115,25.55,,,0,,,5,-3,
2020-05-31,US_PA_42117,78.65,,,24,,,,-5,
2020-05-31,US_PA_42119,14.8,,,-8,17,,,-16,
2020-05-31,US_PA_42121,41.06,,,41,25,,-10,-3,
2020-05-31,US_PA_42123,47.4,,,,,,,-4,
2020-05-31,US_PA_42125,6.71,,,-17,6,116,0,-17,2
2020-05-31,US_PA_42127,79.97,,,32,16,,,-3,
2020-05-31,US_PA_42129,17.39,,,-12,3,202,-2,-11,2
2020-05-31,US_PA_42131,32.1,,,1,,,,-6,
2020-05-31,US_PA_42133,14.86,,,-11,2,193,-40,-11,3
2020-05-31,US_PR,-16.88,,,,,,,,
2020-05-31,US_PR_72005,18.36,,,,,,,,
2020-05-31,US_PR_72013,51.57,,,,,,,,
2020-05-31,US_PR_72021,-36.31,,,,,,,,
2020-05-31,US_PR_72025,-42.7,,,,,,,,
2020-05-31,US_PR_72031,-43.03,,,,,,,,
2020-05-31,US_PR_72051,3.2,,,,,,,,
2020-05-31,US_PR_72061,-47.72,,,,,,,,
2020-05-31,US_PR_72063,-29.75,,,,,,,,
2020-05-31,US_PR_72069,20.27,,,,,,,,
2020-05-31,US_PR_72097,-30.45,,,,,,,,
2020-05-31,US_PR_72113,-49.59,,,,,,,,
2020-05-31,US_PR_72119,16.28,,,,,,,,
2020-05-31,US_PR_72127,-56.37,,,,,,,,
2020-05-31,US_PR_72137,-2.41,,,,,,,,
2020-05-31,US_PR_72139,-17.47,,,,,,,,
2020-05-31,US_RI,18.98,,,-10,-5,191,-37,-12,5
2020-05-31,US_RI_44001,46.1,,,10,-3,,,1,
2020-05-31,US_RI_44003,11.96,,,-12,-9,193,-51,-7,4
2020-05-31,US_RI_44005,111.56,,,18,9,179,,-8,
2020-05-31,US_RI_44007,3.33,,,-18,-5,124,-42,-15,5
2020-05-31,US_RI_44009,75.19,,,13,-1,,,-6,4
2020-05-31,US_SC,26.2,,,-9,4,60,8,-14,4
2020-05-31,US_SC_45001,36.75,,,,,,,-21,
2020-05-31,US_SC_45003,25.66,,,-6,4,27,,-13,3
2020-05-31,US_SC_45007,28.06,,,-11,5,60,-1,-13,2
2020-05-31,US_SC_45011,15.09,,,,,,,-11,
2020-05-31,US_SC_45013,90.95,,,9,10,126,,-16,4
2020-05-31,US_SC_45015,-1.25,,,-12,3,27,-9,-15,6
2020-05-31,US_SC_45017,68.51,,,,,,21,,
2020-05-31,US_SC_45019,0.14,,,-26,-12,21,-42,-21,7
2020-05-31,US_SC_45021,25.84,,,0,2,,-3,-5,
2020-05-31,US_SC_45023,44.41,,,-9,,,,-15,
2020-05-31,US_SC_45025,86.34,,,9,,,,-14,
2020-05-31,US_SC_45027,72.88,,,,,,,-18,
2020-05-31,US_SC_45029,87.97,,,3,5,,28,-16,
2020-05-31,US_SC_45031,38.37,,,-2,16,,,-7,
2020-05-31,US_SC_45033,104.53,,,10,,,22,-11,
2020-05-31,US_SC_45035,13.06,,,-14,-3,16,8,-17,5
2020-05-31,US_SC_45037,37.16,,,,,,,-6,
2020-05-31,US_SC_45039,59.35,,,,,,-4,-10,
2020-05-31,US_SC_45041,27.5,,,-4,11,,33,-13,4
2020-05-31,US_SC_45043,67.79,,,14,15,,,-10,
2020-05-31,US_SC_45045,8.94,,,-15,1,31,47,-17,4
2020-05-31,US_SC_45047,7.18,,,-3,14,,,-14,
2020-05-31,US_SC_45049,70.49,,,,,,10,-5,
2020-05-31,US_SC_45051,167.97,,,17,25,128,24,-8,3
2020-05-31,US_SC_45053,77.96,,,-6,8,26,,-20,
2020-05-31,US_SC_45055,17.69,,,-6,14,,12,-8,
2020-05-31,US_SC_45057,6.47,,,-9,4,,,-14,4
2020-05-31,US_SC_45059,47.95,,,8,17,,,-10,2
2020-05-31,US_SC_45061,97.54,,,,,,,-11,
2020-05-31,US_SC_45063,11.17,,,-14,5,77,2,-14,4
2020-05-31,US_SC_45067,151.85,,,,,,,-14,
2020-05-31,US_SC_45069,136.97,,,,,,,-10,
2020-05-31,US_SC_45071,76.11,,,7,,,21,-14,
2020-05-31,US_SC_45073,88.72,,,9,12,158,,-8,2
2020-05-31,US_SC_45075,38.79,,,-2,5,,15,-20,5
2020-05-31,US_SC_45077,-2.3,,,-7,6,100,,-14,3
2020-05-31,US_SC_45079,-7.46,,,-20,-1,-3,-8,-17,6
2020-05-31,US_SC_45081,36.94,,,,,,,-18,
2020-05-31,US_SC_45083,9.43,,,-5,6,72,-24,-11,2
2020-05-31,US_SC_45085,16.81,,,-6,2,,,-13,4
2020-05-31,US_SC_45087,25.43,,,,,,,-10,
2020-05-31,US_SC_45089,26.24,,,,,,,-5,
2020-05-31,US_SC_45091,6.25,,,-7,-8,52,-8,-15,4
2020-05-31,US_SD,86.06,,,6,24,284,17,-5,0
2020-05-31,US_SD_46005,,,,,,,,-13,
2020-05-31,US_SD_46011,0.22,,,-9,,,,-17,
2020-05-31,US_SD_46013,18.84,,,3,,,,-2,
2020-05-31,US_SD_46027,-4.55,,,,,,,,
2020-05-31,US_SD_46029,60.22,,,22,,,,-3,
2020-05-31,US_SD_46035,114.26,,,-2,,,,4,
2020-05-31,US_SD_46081,225.83,,,22,,,,-17,
2020-05-31,US_SD_46083,40.28,,,12,,,,4,
2020-05-31,US_SD_46093,112.13,,,,,,,-3,
2020-05-31,US_SD_46099,49.07,,,1,14,231,-14,-7,0
2020-05-31,US_SD_46103,168.78,,,4,24,,26,-4,0
2020-05-31,US_SD_46127,58.79,,,,,,,,
2020-05-31,US_SD_46135,,,,30,,,,2,
2020-05-31,US_TN,15.41,,,-6,7,105,-13,-14,2
2020-05-31,US_TN_47001,33.53,,,1,9,,,-12,1
2020-05-31,US_TN_47003,25.37,,,6,21,,,-13,
2020-05-31,US_TN_47005,78.78,,,,,,27,-5,
2020-05-31,US_TN_47009,34.38,,,-1,14,183,-66,-16,2
2020-05-31,US_TN_47011,25.88,,,-1,17,,7,-8,2
2020-05-31,US_TN_47013,178.99,,,24,30,,44,-2,
2020-05-31,US_TN_47017,24.35,,,,,,,-5,
2020-05-31,US_TN_47019,53.31,,,32,25,,,-2,
2020-05-31,US_TN_47021,39.28,,,3,,,,-5,
2020-05-31,US_TN_47023,21.87,,,,,,,,
2020-05-31,US_TN_47025,44.99,,,,,,,-2,
2020-05-31,US_TN_47029,143.04,,,18,17,,,-6,
2020-05-31,US_TN_47031,52.61,,,4,21,,-16,-18,
2020-05-31,US_TN_47033,93.13,,,,,,,,
2020-05-31,US_TN_47035,83.83,,,14,8,,22,-15,
2020-05-31,US_TN_47037,-22.25,,,-31,-4,23,-52,-24,5
2020-05-31,US_TN_47039,33.55,,,,,,,,
2020-05-31,US_TN_47041,166.23,,,,,,,-10,
2020-05-31,US_TN_47043,42.62,,,4,5,,20,-15,
2020-05-31,US_TN_47045,10.08,,,10,,,,-7,
2020-05-31,US_TN_47047,82.68,,,,,,0,-21,
2020-05-31,US_TN_47051,76.58,,,24,,,,-18,
2020-05-31,US_TN_47053,13.26,,,8,,,,-10,
2020-05-31,US_TN_47055,76.21,,,13,,,37,-10,
2020-05-31,US_TN_47057,47.99,,,,,,,4,
2020-05-31,US_TN_47059,36.53,,,16,5,,21,-1,-1
2020-05-31,US_TN_47061,164.54,,,,,,,,
2020-05-31,US_TN_47063,23.09,,,4,4,,,-5,0
2020-05-31,US_TN_47065,14.66,,,-15,0,85,-29,-16,4
2020-05-31,US_TN_47069,27.15,,,,,,,-18,
2020-05-31,US_TN_47071,114.42,,,28,,,,-11,
2020-05-31,US_TN_47073,8.84,,,22,20,,,-9,
2020-05-31,US_TN_47075,64.57,,,,,,,-6,
2020-05-31,US_TN_47077,66.13,,,18,,,,-9,
2020-05-31,US_TN_47079,39.86,,,16,,,,-2,
2020-05-31,US_TN_47081,76.61,,,,,,,-10,
2020-05-31,US_TN_47085,68.67,,,,,,,-6,
2020-05-31,US_TN_47089,72.24,,,22,12,,7,-10,
2020-05-31,US_TN_47093,5.31,,,-12,-3,75,-3,-17,2
2020-05-31,US_TN_47097,26.95,,,,,,,-4,
2020-05-31,US_TN_47099,74.32,,,14,29,,,-14,
2020-05-31,US_TN_47103,19.52,,,12,,,,2,
2020-05-31,US_TN_47105,53.34,,,3,7,,17,-19,
2020-05-31,US_TN_47107,42.73,,,3,11,,29,-15,
2020-05-31,US_TN_47109,28.9,,,,,,,-2,
2020-05-31,US_TN_47111,21.73,,,,,,,-7,
2020-05-31,US_TN_47113,19.79,,,2,6,,5,-13,2
2020-05-31,US_TN_47115,80.54,,,22,,67,16,-14,
2020-05-31,US_TN_47117,65.36,,,9,,,,-16,
2020-05-31,US_TN_47119,23.38,,,-6,0,,18,-16,2
2020-05-31,US_TN_47121,,,,,,,,-8,
2020-05-31,US_TN_47123,58.9,,,27,20,,,-11,
2020-05-31,US_TN_47125,34.12,,,1,8,106,22,-11,2
2020-05-31,US_TN_47129,,,,,,,,-6,
2020-05-31,US_TN_47131,10.63,,,-4,,,,-10,
2020-05-31,US_TN_47133,32.69,,,,,,,-4,
2020-05-31,US_TN_47139,,,,,,,,-8,
2020-05-31,US_TN_47141,38.34,,,1,11,,26,-13,1
2020-05-31,US_TN_47143,45.34,,,18,,,,0,
2020-05-31,US_TN_47145,50.76,,,14,6,,,1,
2020-05-31,US_TN_47147,17.8,,,-1,3,,6,-13,
2020-05-31,US_TN_47149,14.08,,,-11,1,118,7,-13,4
2020-05-31,US_TN_47151,,,,,,,,-5,
2020-05-31,US_TN_47153,,,,,,,,-6,
2020-05-31,US_TN_47155,264.23,,,39,27,126,,-13,0
2020-05-31,US_TN_47157,13.26,,,-10,1,17,-30,-13,4
2020-05-31,US_TN_47159,80.2,,,,,,36,2,
2020-05-31,US_TN_47163,41.3,,,15,14,,19,-10,0
2020-05-31,US_TN_47165,17.74,,,-2,10,,,-13,2
2020-05-31,US_TN_47167,26.18,,,9,3,,,-9,
2020-05-31,US_TN_47171,,,,,,,,-10,
2020-05-31,US_TN_47173,,,,,,,,-1,
2020-05-31,US_TN_47177,58.77,,,12,,,,-14,
2020-05-31,US_TN_47179,22.05,,,0,5,,,-13,0
2020-05-31,US_TN_47183,-3.18,,,-3,,,,-9,
2020-05-31,US_TN_47185,61.17,,,,,,,-4,
2020-05-31,US_TN_47187,-3.08,,,-18,-11,107,,-14,5
2020-05-31,US_TN_47189,16.88,,,6,13,,6,-11,3
2020-05-31,US_TX,-3.01,,,-18,-7,-5,-29,-13,6
2020-05-31,US_TX_48001,47.89,,,-8,7,,,-11,
2020-05-31,US_TX_48003,-42.74,,,,,,,-14,
2020-05-31,US_TX_48005,18.05,,,-8,4,,-1,-5,3
2020-05-31,US_TX_48007,140.8,,,11,,23,,-6,
2020-05-31,US_TX_48013,26.82,,,-9,-12,,-15,-11,
2020-05-31,US_TX_48015,50.47,,,-12,,,,-9,
2020-05-31,US_TX_48019,105.66,,,,,,,-8,
2020-05-31,US_TX_48021,31.15,,,-4,-3,-10,,-12,5
2020-05-31,US_TX_48025,9.24,,,-13,-12,,,-14,
2020-05-31,US_TX_48027,29.29,,,-6,3,99,-10,-12,4
2020-05-31,US_TX_48029,-12.26,,,-23,-7,-35,-35,-16,6
2020-05-31,US_TX_48031,94.1,,,,,,,,
2020-05-31,US_TX_48035,112.41,,,,,,,-5,
2020-05-31,US_TX_48037,31.89,,,-2,8,,-1,-13,2
2020-05-31,US_TX_48039,18.13,,,-12,-4,22,-1,-11,7
2020-05-31,US_TX_48041,-30.1,,,-27,-17,-16,-35,-13,6
2020-05-31,US_TX_48043,2.42,,,,,,,,
2020-05-31,US_TX_48047,24.83,,,,,,-47,,
2020-05-31,US_TX_48049,33.06,,,0,13,,,-5,
2020-05-31,US_TX_48051,32.21,,,,,,,-5,
2020-05-31,US_TX_48053,79.61,,,13,6,66,,-4,
2020-05-31,US_TX_48055,64.8,,,-14,0,,-2,-16,
2020-05-31,US_TX_48057,63.34,,,-14,,,,-7,
2020-05-31,US_TX_48059,21.55,,,,,,1,,
2020-05-31,US_TX_48061,27.71,,,-19,-10,-28,-56,-10,6
2020-05-31,US_TX_48065,47.18,,,,,,,,
2020-05-31,US_TX_48067,25.29,,,,,,15,-10,
2020-05-31,US_TX_48071,21.2,,,-6,-1,,-3,-12,
2020-05-31,US_TX_48073,34.09,,,-2,11,,,-9,
2020-05-31,US_TX_48077,90.3,,,,,,,,
2020-05-31,US_TX_48085,-9.63,,,-25,-15,32,-13,-15,7
2020-05-31,US_TX_48089,94.97,,,,,,-1,3,
2020-05-31,US_TX_48091,63.58,,,-5,6,99,4,-15,5
2020-05-31,US_TX_48093,57.08,,,,,,,,
2020-05-31,US_TX_48097,49.39,,,11,,,,-2,
2020-05-31,US_TX_48099,27.15,,,0,8,20,,-11,4
2020-05-31,US_TX_48105,64.21,,,,,,,,
2020-05-31,US_TX_48109,35.91,,,,,,-17,,
2020-05-31,US_TX_48111,84.35,,,,,,,,
2020-05-31,US_TX_48113,-17.02,,,-22,-7,8,-28,-17,6
2020-05-31,US_TX_48115,-0.62,,,,,,,,
2020-05-31,US_TX_48117,15.95,,,,,,,-8,
2020-05-31,US_TX_48121,6.27,,,-16,-5,88,5,-14,6
2020-05-31,US_TX_48123,-26.44,,,,,,,-8,
2020-05-31,US_TX_48127,-22.82,,,,,,-40,,
2020-05-31,US_TX_48133,37.31,,,,,,0,-6,
2020-05-31,US_TX_48135,-21.32,,,-19,-15,,-22,-8,5
2020-05-31,US_TX_48139,29.5,,,-6,1,46,-12,-14,4
2020-05-31,US_TX_48141,5.3,,,-27,-9,-54,-18,-14,8
2020-05-31,US_TX_48143,9.9,,,-11,-4,,,-13,
2020-05-31,US_TX_48145,52.21,,,,,,,,
2020-05-31,US_TX_48147,46.11,,,,,,,-5,
2020-05-31,US_TX_48149,75.29,,,-4,,,-4,-11,
2020-05-31,US_TX_48157,-6.1,,,-28,-15,-22,4,-15,9
2020-05-31,US_TX_48159,82.22,,,,,,14,,
2020-05-31,US_TX_48161,73.95,,,,,,3,0,
2020-05-31,US_TX_48163,-12.26,,,,,,,-8,
2020-05-31,US_TX_48165,3.52,,,,,,,-13,
2020-05-31,US_TX_48167,78.41,,,5,16,,97,-9,6
2020-05-31,US_TX_48169,53.28,,,,,,,,
2020-05-31,US_TX_48171,117.02,,,4,,-41,,-23,
2020-05-31,US_TX_48173,-42.03,,,,,,,,
2020-05-31,US_TX_48177,26.4,,,,,,,-12,
2020-05-31,US_TX_48179,40.14,,,,,,,-7,
2020-05-31,US_TX_48181,40.66,,,-3,3,145,,-7,2
2020-05-31,US_TX_48183,5.58,,,-8,1,19,,-12,3
2020-05-31,US_TX_48185,45.07,,,,,,,-12,
2020-05-31,US_TX_48187,16.3,,,-10,-4,4,-4,-15,5
2020-05-31,US_TX_48189,10.53,,,9,15,,,-4,
2020-05-31,US_TX_48193,81.92,,,,,,,,
2020-05-31,US_TX_48199,32.73,,,-2,3,,,-8,
2020-05-31,US_TX_48201,-17.28,,,-23,-12,-38,-50,-15,7
2020-05-31,US_TX_48203,31.71,,,3,12,18,,-12,
2020-05-31,US_TX_48205,65.37,,,,,,,,
2020-05-31,US_TX_48209,22.17,,,-13,-8,,16,-12,6
2020-05-31,US_TX_48213,64.74,,,6,13,,,-9,1
2020-05-31,US_TX_48215,-11.28,,,-26,-17,-52,-46,-11,7
2020-05-31,US_TX_48217,83.4,,,6,10,,-13,-11,
2020-05-31,US_TX_48219,-37.27,,,,,,,-3,
2020-05-31,US_TX_48221,35.8,,,9,15,,,-15,
2020-05-31,US_TX_48223,51.44,,,-2,,,-1,-4,
2020-05-31,US_TX_48225,52.59,,,,,,,-16,
2020-05-31,US_TX_48227,-20.23,,,-20,-7,,-35,-18,
2020-05-31,US_TX_48229,59.9,,,,,,,,
2020-05-31,US_TX_48231,23.18,,,3,10,,-8,-9,2
2020-05-31,US_TX_48233,37.09,,,,,,,-3,
2020-05-31,US_TX_48237,57.44,,,,,,,,
2020-05-31,US_TX_48239,27.64,,,,,,-12,,
2020-05-31,US_TX_48241,64.51,,,14,,,,-9,
2020-05-31,US_TX_48245,2.18,,,-12,-6,21,-5,-13,5
2020-05-31,US_TX_48249,-0.96,,,-10,-7,,,-8,
2020-05-31,US_TX_48251,21.53,,,-1,-1,33,,-12,3
2020-05-31,US_TX_48253,23.34,,,,,,,-8,
2020-05-31,US_TX_48255,-50.89,,,,,,,-12,
2020-05-31,US_TX_48257,36.12,,,-2,19,,30,-10,3
2020-05-31,US_TX_48259,16.51,,,-11,-8,,-10,-12,
2020-05-31,US_TX_48265,39.36,,,-5,-12,7,,-15,
2020-05-31,US_TX_48267,88.45,,,,,,6,,
2020-05-31,US_TX_48273,22.26,,,-9,-4,,-4,-9,
2020-05-31,US_TX_48277,35.7,,,7,14,,,0,
2020-05-31,US_TX_48279,,,,,,,,-21,
2020-05-31,US_TX_48281,77.16,,,7,,,,-7,
2020-05-31,US_TX_48283,-46.64,,,,,,-32,,
2020-05-31,US_TX_48285,33.9,,,,,,,,
2020-05-31,US_TX_48287,34.99,,,,,,,-19,
2020-05-31,US_TX_48289,84.42,,,,,,35,-17,
2020-05-31,US_TX_48291,17.98,,,-5,19,,22,-5,4
2020-05-31,US_TX_48293,24.64,,,,,,,-12,
2020-05-31,US_TX_48297,75.13,,,,,,23,-25,
2020-05-31,US_TX_48299,159.55,,,,,,,-8,
2020-05-31,US_TX_48301,-81.24,,,,,,,,
2020-05-31,US_TX_48303,-4.52,,,-5,7,62,-14,-8,2
2020-05-31,US_TX_48307,35.31,,,,,,,,
2020-05-31,US_TX_48309,8.63,,,-9,3,75,-1,-11,3
2020-05-31,US_TX_48311,-71.67,,,,,,,,
2020-05-31,US_TX_48313,62.84,,,,-15,,,,
2020-05-31,US_TX_48317,-50.03,,,,,,,,
2020-05-31,US_TX_48321,50.75,,,-15,-6,,,-8,
2020-05-31,US_TX_48323,8.65,,,-35,-19,-49,-29,-14,
2020-05-31,US_TX_48325,42.98,,,8,1,,-17,-13,
2020-05-31,US_TX_48329,-36.65,,,-19,-21,-17,-37,-12,6
2020-05-31,US_TX_48331,34.23,,,,,,,-8,
2020-05-31,US_TX_48335,15.71,,,,,-62,,,
2020-05-31,US_TX_48337,34.73,,,,,,,-8,
2020-05-31,US_TX_48339,2.09,,,-13,-3,12,-4,-12,5
2020-05-31,US_TX_48341,59.73,,,-5,,,-12,-3,
2020-05-31,US_TX_48343,,,,,,,,-20,
2020-05-31,US_TX_48347,0.91,,,-19,-11,45,-4,-13,
2020-05-31,US_TX_48349,50.76,,,0,12,,3,-14,
2020-05-31,US_TX_48353,17.92,,,-5,,,2,-11,
2020-05-31,US_TX_48355,36.24,,,-2,-1,24,-8,-12,6
2020-05-31,US_TX_48359,114.18,,,,,,18,,
2020-05-31,US_TX_48361,30.94,,,0,4,3,-18,-7,3
2020-05-31,US_TX_48363,96.5,,,6,,,,-7,
2020-05-31,US_TX_48365,17.21,,,,,,5,-14,
2020-05-31,US_TX_48367,13.92,,,0,10,17,-15,-15,3
2020-05-31,US_TX_48371,11.27,,,-13,,,-9,-10,
2020-05-31,US_TX_48373,45.42,,,12,18,,5,-7,
2020-05-31,US_TX_48375,32.46,,,-4,7,29,-6,-10,2
2020-05-31,US_TX_48379,46.04,,,,,,,,
2020-05-31,US_TX_48381,19.27,,,0,1,,,-10,3
2020-05-31,US_TX_48383,-49.14,,,,,,,,
2020-05-31,US_TX_48389,-37.44,,,-44,-31,,-38,-23,
2020-05-31,US_TX_48391,84.37,,,,,,-2,,
2020-05-31,US_TX_48395,64.29,,,,,,-2,,
2020-05-31,US_TX_48397,15.2,,,-2,-3,,4,-11,5
2020-05-31,US_TX_48399,45.53,,,,,,,,
2020-05-31,US_TX_48401,13.77,,,2,9,,,-8,
2020-05-31,US_TX_48407,67.88,,,,,,,-7,
2020-05-31,US_TX_48409,60.79,,,1,-2,-14,4,-2,4
2020-05-31,US_TX_48415,30.69,,,,,,,-5,
2020-05-31,US_TX_48419,28.69,,,,,,,-10,
2020-05-31,US_TX_48421,,,,,,,4,,
2020-05-31,US_TX_48423,11.51,,,-4,2,59,-2,-8,3
2020-05-31,US_TX_48425,181.99,,,,,,,,
2020-05-31,US_TX_48427,-0.94,,,-33,-2,-35,,-4,
2020-05-31,US_TX_48435,65.11,,,,,,,,
