date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-21,CO_70_70235,1,0,0,,2,0,0,
2020-06-21,CO_70_70670,1,0,0,,7,0,1,
2020-06-21,CO_70_70717,1,0,0,,2,0,0,
2020-06-21,CO_70_70742,1,0,0,,9,0,3,
2020-06-21,CO_70_70820,0,0,1,,4,0,1,
2020-06-21,CO_73,71,1,8,,598,18,264,
2020-06-21,CO_73_73001,9,0,2,,238,6,163,
2020-06-21,CO_73_73268,59,0,2,,209,3,19,
2020-06-21,CO_73_73319,0,0,1,,5,1,2,
2020-06-21,CO_73_73349,1,0,1,,10,0,4,
2020-06-21,CO_73_73443,0,1,0,,14,2,0,
2020-06-21,CO_73_73449,1,0,0,,17,2,8,
2020-06-21,CO_73_73675,1,0,0,,2,0,0,
2020-06-21,CO_73_73678,0,0,2,,54,1,48,
2020-06-21,CO_76,268,10,208,,7435,355,3139,
2020-06-21,CO_76_76001,206,8,125,,5477,225,2391,
2020-06-21,CO_76_76109,28,1,68,,1193,81,396,
2020-06-21,CO_76_76111,3,0,0,,40,0,15,
2020-06-21,CO_76_76130,5,1,1,,79,4,36,
2020-06-21,CO_76_76147,1,0,0,,22,0,17,
2020-06-21,CO_76_76233,2,0,1,,28,4,11,
2020-06-21,CO_76_76275,4,0,0,,58,4,14,
2020-06-21,CO_76_76306,1,0,0,,4,1,0,
2020-06-21,CO_76_76364,1,0,2,,98,3,48,
2020-06-21,CO_76_76520,5,0,1,,118,9,61,
2020-06-21,CO_76_76563,3,0,4,,40,6,8,
2020-06-21,CO_76_76606,0,0,1,,6,0,2,
2020-06-21,CO_76_76834,1,0,1,,44,5,27,
2020-06-21,CO_76_76890,1,0,0,,4,0,3,
2020-06-21,CO_76_76892,7,0,4,,116,3,56,
2020-06-21,CO_81,5,0,0,,30,0,2,
2020-06-21,CO_81_81001,1,0,0,,24,0,1,
2020-06-21,CO_81_81736,4,0,0,,4,0,0,
2020-06-21,CO_85,3,0,0,,55,0,35,
2020-06-21,CO_85_85001,3,0,0,,40,0,28,
2020-06-21,CO_91,10,0,56,,2149,88,1660,
2020-06-21,CO_91_91001,10,0,52,,2050,86,1613,
2020-06-21,CO_91_91540,0,0,4,,99,2,47,
2020-06-21,CR,86,0,,244,2213,12,,27176
2020-06-21,CR_A,20,0,,,465,306,,
2020-06-21,CR_C,3,,,,37,,,
2020-06-21,CR_G,6,,,,102,,,
2020-06-21,CR_H,9,,,,157,,,
2020-06-21,CR_L,3,,,,69,,,
2020-06-21,CR_P,0,,,,45,,,
2020-06-21,CR_SJ,33,,,,294,,,
2020-06-21,CU,3,0,,2148,2312,85,,155381
2020-06-21,CU_01,0,,,,52,,,
