key,date,current_hospitalized,current_intensive_care,total_recovered,total_deceased,current_hospitalized_female,current_hospitalized_male,current_intensive_care_female,current_intensive_care_male,total_recovered_female,total_recovered_male,total_deceased_female,total_deceased_male,new_recovered,new_deceased,new_recovered_female,new_recovered_male,new_deceased_female,new_deceased_male
FR_CVL_18,2020-06-06,50,0,155,76,27,23,0,0,79,76,38,38,1,0,0,1,0,0
FR_CVL_18,2020-06-07,50,0,155,76,27,23,0,0,79,76,38,38,0,0,0,0,0,0
FR_CVL_18,2020-06-08,48,0,156,77,25,23,0,0,80,76,39,38,1,1,1,0,1,0
FR_CVL_18,2020-06-09,48,0,156,77,25,23,0,0,80,76,39,38,0,0,0,0,0,0
FR_CVL_18,2020-06-10,47,0,156,77,25,22,0,0,80,76,39,38,0,0,0,0,0,0
FR_CVL_18,2020-06-11,46,0,157,77,25,21,0,0,80,77,39,38,1,0,0,1,0,0
FR_CVL_18,2020-06-12,45,0,158,77,24,21,0,0,81,77,39,38,1,0,1,0,0,0
FR_CVL_18,2020-06-13,45,0,158,77,24,21,0,0,81,77,39,38,0,0,0,0,0,0
FR_CVL_18,2020-06-14,44,0,159,77,24,20,0,0,81,78,39,38,1,0,0,1,0,0
FR_CVL_18,2020-06-15,44,0,159,77,24,20,0,0,81,78,39,38,0,0,0,0,0,0
FR_CVL_18,2020-06-16,44,0,159,77,24,20,0,0,81,78,39,38,0,0,0,0,0,0
FR_CVL_18,2020-06-17,43,0,159,78,23,20,0,0,81,78,40,38,0,1,0,0,1,0
FR_CVL_18,2020-06-18,43,0,159,82,23,20,0,0,80,79,43,39,0,4,-1,1,3,1
FR_CVL_18,2020-06-19,42,0,160,82,23,19,0,0,80,80,43,39,1,0,0,1,0,0
FR_CVL_18,2020-06-20,42,0,160,82,23,19,0,0,80,80,43,39,0,0,0,0,0,0
FR_CVL_18,2020-06-21,42,0,160,82,23,19,0,0,80,80,43,39,0,0,0,0,0,0
FR_CVL_28,2020-03-18,5,3,0,1,4,1,2,1,0,0,0,1,,,,,,
FR_CVL_28,2020-03-19,11,4,0,1,6,5,2,2,0,0,0,1,0,0,0,0,0,0
FR_CVL_28,2020-03-20,12,2,0,1,7,5,1,1,0,0,0,1,0,0,0,0,0,0
FR_CVL_28,2020-03-21,13,2,1,1,7,6,1,1,1,0,0,1,1,0,1,0,0,0
FR_CVL_28,2020-03-22,15,2,2,1,7,8,1,1,2,0,0,1,1,0,1,0,0,0
FR_CVL_28,2020-03-23,31,9,2,2,14,17,4,5,2,0,0,2,0,1,0,0,0,1
FR_CVL_28,2020-03-24,39,11,3,2,16,23,5,6,2,1,0,2,1,0,0,1,0,0
FR_CVL_28,2020-03-25,48,18,6,3,17,31,6,12,4,2,1,2,3,1,2,1,1,0
FR_CVL_28,2020-03-26,56,19,9,8,16,40,5,14,7,2,5,3,3,5,3,0,4,1
FR_CVL_28,2020-03-27,65,24,12,10,14,51,4,20,9,3,7,3,3,2,2,1,2,0
FR_CVL_28,2020-03-28,70,23,14,10,17,53,4,19,9,5,7,3,2,0,0,2,0,0
FR_CVL_28,2020-03-29,96,26,15,11,31,65,5,21,10,5,8,3,1,1,1,0,1,0
FR_CVL_28,2020-03-30,112,28,20,17,36,76,6,22,13,7,10,7,5,6,3,2,2,4
FR_CVL_28,2020-03-31,119,26,24,17,40,79,6,20,15,9,10,7,4,0,2,2,0,0
FR_CVL_28,2020-04-01,119,28,31,17,40,79,8,20,16,15,10,7,7,0,1,6,0,0
FR_CVL_28,2020-04-02,142,30,49,18,53,89,8,22,25,24,10,8,18,1,9,9,0,1
FR_CVL_28,2020-04-03,147,27,60,21,59,88,6,21,28,32,10,11,11,3,3,8,0,3
FR_CVL_28,2020-04-04,157,27,71,24,66,91,6,21,33,38,11,13,11,3,5,6,1,2
FR_CVL_28,2020-04-05,168,30,74,25,70,98,7,23,35,39,11,14,3,1,2,1,0,1
FR_CVL_28,2020-04-06,158,29,91,29,65,93,8,21,43,48,12,17,17,4,8,9,1,3
FR_CVL_28,2020-04-07,163,28,99,31,68,95,7,21,49,50,12,19,8,2,6,2,0,2
FR_CVL_28,2020-04-08,169,30,117,36,76,93,9,21,55,62,16,20,18,5,6,12,4,1
FR_CVL_28,2020-04-09,177,28,125,37,85,92,8,20,57,68,16,21,8,1,2,6,0,1
FR_CVL_28,2020-04-10,189,29,136,40,87,102,7,22,62,74,17,23,11,3,5,6,1,2
FR_CVL_28,2020-04-11,194,24,139,41,90,104,7,17,62,77,18,23,3,1,0,3,1,0
FR_CVL_28,2020-04-12,210,24,140,41,105,105,7,17,62,78,18,23,1,0,0,1,0,0
FR_CVL_28,2020-04-13,223,24,140,42,116,107,7,17,62,78,19,23,0,1,0,0,1,0
FR_CVL_28,2020-04-14,230,23,152,46,125,105,6,17,65,87,21,25,12,4,3,9,2,2
FR_CVL_28,2020-04-15,235,21,162,55,127,108,5,16,68,94,25,30,10,9,3,7,4,5
FR_CVL_28,2020-04-16,231,23,198,57,120,111,5,18,95,103,26,31,36,2,27,9,1,1
FR_CVL_28,2020-04-17,244,25,211,61,133,111,4,21,98,113,27,34,13,4,3,10,1,3
FR_CVL_28,2020-04-18,246,22,219,61,136,110,4,18,101,118,27,34,8,0,3,5,0,0
FR_CVL_28,2020-04-19,248,22,222,62,136,112,4,18,104,118,27,35,3,1,3,0,0,1
FR_CVL_28,2020-04-20,235,23,233,65,128,107,5,18,109,124,30,35,11,3,5,6,3,0
FR_CVL_28,2020-04-21,230,22,244,69,126,104,4,18,114,130,33,36,11,4,5,6,3,1
FR_CVL_28,2020-04-22,232,21,251,74,130,102,4,17,116,135,35,39,7,5,2,5,2,3
FR_CVL_28,2020-04-23,230,23,266,77,127,103,4,19,123,143,38,39,15,3,7,8,3,0
FR_CVL_28,2020-04-24,230,22,267,78,127,103,4,18,123,144,39,39,1,1,0,1,1,0
FR_CVL_28,2020-04-25,226,22,272,78,126,100,4,18,124,148,39,39,5,0,1,4,0,0
FR_CVL_28,2020-04-26,221,18,280,81,120,101,4,14,130,150,42,39,8,3,6,2,3,0
FR_CVL_28,2020-04-27,219,18,291,83,117,102,4,14,137,154,43,40,11,2,7,4,1,1
FR_CVL_28,2020-04-28,212,18,300,83,113,99,4,14,142,158,43,40,9,0,5,4,0,0
FR_CVL_28,2020-04-29,221,19,307,86,115,106,4,15,146,161,45,41,7,3,4,3,2,1
FR_CVL_28,2020-04-30,216,16,320,88,116,100,3,13,151,169,45,43,13,2,5,8,0,2
FR_CVL_28,2020-05-01,217,17,322,91,116,101,3,14,152,170,46,45,2,3,1,1,1,2
FR_CVL_28,2020-05-02,220,17,325,92,117,103,3,14,154,171,47,45,3,1,2,1,1,0
FR_CVL_28,2020-05-03,216,17,326,95,114,102,3,14,155,171,49,46,1,3,1,0,2,1
FR_CVL_28,2020-05-04,217,17,328,96,114,103,3,14,157,171,50,46,2,1,2,0,1,0
FR_CVL_28,2020-05-05,223,20,335,99,115,108,3,17,161,174,52,47,7,3,4,3,2,1
FR_CVL_28,2020-05-06,209,17,349,101,110,99,2,15,165,184,53,48,14,2,4,10,1,1
FR_CVL_28,2020-05-07,210,16,355,102,112,98,2,14,167,188,53,49,6,1,2,4,0,1
FR_CVL_28,2020-05-08,206,15,359,104,111,95,2,13,170,189,53,51,4,2,3,1,0,2
FR_CVL_28,2020-05-09,206,15,361,104,111,95,2,13,170,191,53,51,2,0,0,2,0,0
FR_CVL_28,2020-05-10,205,15,362,104,110,95,2,13,171,191,53,51,1,0,1,0,0,0
FR_CVL_28,2020-05-11,195,15,372,105,102,93,2,13,179,193,53,52,10,1,8,2,0,1
FR_CVL_28,2020-05-12,186,14,380,107,101,85,2,12,181,199,53,54,8,2,2,6,0,2
FR_CVL_28,2020-05-13,186,15,382,107,102,84,3,12,182,200,53,54,2,0,1,1,0,0
FR_CVL_28,2020-05-14,181,15,389,107,99,82,3,12,185,204,53,54,7,0,3,4,0,0
FR_CVL_28,2020-05-15,178,13,394,110,98,80,2,11,186,208,54,56,5,3,1,4,1,2
FR_CVL_28,2020-05-16,174,13,399,111,96,78,2,11,189,210,55,56,5,1,3,2,1,0
FR_CVL_28,2020-05-17,176,13,399,111,97,79,2,11,189,210,55,56,0,0,0,0,0,0
FR_CVL_28,2020-05-18,171,13,403,112,95,76,2,11,191,212,55,57,4,1,2,2,0,1
FR_CVL_28,2020-05-19,172,13,404,112,94,78,2,11,192,212,55,57,1,0,1,0,0,0
FR_CVL_28,2020-05-20,170,10,409,115,94,76,2,8,194,215,56,59,5,3,2,3,1,2
FR_CVL_28,2020-05-21,169,10,411,115,94,75,2,8,195,216,56,59,2,0,1,1,0,0
FR_CVL_28,2020-05-22,173,10,408,115,96,77,2,8,192,216,56,59,-3,0,-3,0,0,0
FR_CVL_28,2020-05-23,172,9,410,115,96,76,2,7,192,218,56,59,2,0,0,2,0,0
FR_CVL_28,2020-05-24,171,9,411,116,97,74,2,7,192,219,56,60,1,1,0,1,0,1
FR_CVL_28,2020-05-25,170,9,412,116,97,73,2,7,192,220,56,60,1,0,0,1,0,0
FR_CVL_28,2020-05-26,168,9,414,116,97,71,2,7,192,222,56,60,2,0,0,2,0,0
FR_CVL_28,2020-05-27,166,9,415,116,96,70,2,7,193,222,56,60,1,0,1,0,0,0
FR_CVL_28,2020-05-28,163,8,418,116,95,68,2,6,194,224,56,60,3,0,1,2,0,0
FR_CVL_28,2020-05-29,151,8,427,118,88,63,2,6,200,227,57,61,9,2,6,3,1,1
FR_CVL_28,2020-05-30,153,10,427,118,88,65,2,8,200,227,57,61,0,0,0,0,0,0
FR_CVL_28,2020-05-31,153,10,427,118,88,65,2,8,200,227,57,61,0,0,0,0,0,0
FR_CVL_28,2020-06-01,153,10,427,118,88,65,2,8,200,227,57,61,0,0,0,0,0,0
FR_CVL_28,2020-06-02,152,9,428,118,87,65,2,7,201,227,57,61,1,0,1,0,0,0
FR_CVL_28,2020-06-03,147,9,430,121,85,62,2,7,202,228,58,63,2,3,1,1,1,2
FR_CVL_28,2020-06-04,144,9,432,124,83,61,2,7,203,229,59,65,2,3,1,1,1,2
FR_CVL_28,2020-06-05,139,9,438,124,80,59,2,7,206,232,59,65,6,0,3,3,0,0
FR_CVL_28,2020-06-06,140,9,438,124,81,59,2,7,206,232,59,65,0,0,0,0,0,0
FR_CVL_28,2020-06-07,139,10,439,125,80,59,2,8,206,233,60,65,1,1,0,1,1,0
FR_CVL_28,2020-06-08,140,11,439,126,80,60,2,9,206,233,60,66,0,1,0,0,0,1
FR_CVL_28,2020-06-09,139,11,440,126,79,60,2,9,207,233,60,66,1,0,1,0,0,0
FR_CVL_28,2020-06-10,126,11,452,127,70,56,2,9,215,237,61,66,12,1,8,4,1,0
FR_CVL_28,2020-06-11,127,12,454,127,70,57,2,10,215,239,61,66,2,0,0,2,0,0
FR_CVL_28,2020-06-12,127,12,454,127,70,57,2,10,215,239,61,66,0,0,0,0,0,0
FR_CVL_28,2020-06-13,126,12,455,127,69,57,2,10,216,239,61,66,1,0,1,0,0,0
FR_CVL_28,2020-06-14,126,12,455,127,69,57,2,10,216,239,61,66,0,0,0,0,0,0
FR_CVL_28,2020-06-15,127,12,456,127,70,57,2,10,217,239,61,66,1,0,1,0,0,0
FR_CVL_28,2020-06-16,128,13,458,127,69,59,2,11,219,239,61,66,2,0,2,0,0,0
FR_CVL_28,2020-06-17,97,9,492,131,51,46,1,8,238,254,64,67,34,4,19,15,3,1
FR_CVL_28,2020-06-18,97,9,493,133,51,46,1,8,239,254,65,68,1,2,1,0,1,1
FR_CVL_28,2020-06-19,97,9,493,133,51,46,1,8,239,254,65,68,0,0,0,0,0,0
FR_CVL_28,2020-06-20,96,9,494,133,51,45,1,8,239,255,65,68,1,0,0,1,0,0
FR_CVL_28,2020-06-21,96,9,494,133,51,45,1,8,239,255,65,68,0,0,0,0,0,0
FR_CVL_36,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FR_CVL_36,2020-03-19,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
FR_CVL_36,2020-03-20,4,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
FR_CVL_36,2020-03-21,5,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0
FR_CVL_36,2020-03-22,5,2,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0
FR_CVL_36,2020-03-23,16,5,0,2,9,7,2,3,0,0,1,1,0,2,0,0,1,1
FR_CVL_36,2020-03-24,19,7,0,2,11,8,3,4,0,0,1,1,0,0,0,0,0,0
FR_CVL_36,2020-03-25,23,7,0,5,12,11,3,4,0,0,3,2,0,3,0,0,2,1
FR_CVL_36,2020-03-26,23,7,1,5,11,12,3,4,1,0,3,2,1,0,1,0,0,0
FR_CVL_36,2020-03-27,29,7,2,7,14,15,3,4,1,1,5,2,1,2,0,1,2,0
FR_CVL_36,2020-03-28,41,9,2,8,16,25,4,5,1,1,5,3,0,1,0,0,0,1
FR_CVL_36,2020-03-29,40,8,2,9,16,24,4,4,1,1,5,4,0,1,0,0,0,1
FR_CVL_36,2020-03-30,43,8,3,11,18,25,4,4,2,1,6,5,1,2,1,0,1,1
FR_CVL_36,2020-03-31,43,8,3,13,18,25,4,4,2,1,7,6,0,2,0,0,1,1
FR_CVL_36,2020-04-01,51,6,4,17,21,30,3,3,3,1,8,9,1,4,1,0,1,3
FR_CVL_36,2020-04-02,49,7,7,17,20,29,3,4,5,2,8,9,3,0,2,1,0,0
FR_CVL_36,2020-04-03,47,9,7,17,19,28,4,5,5,2,8,9,0,0,0,0,0,0
FR_CVL_36,2020-04-04,56,11,9,17,23,33,4,7,7,2,8,9,2,0,2,0,0,0
FR_CVL_36,2020-04-05,64,10,9,18,26,38,4,6,7,2,8,10,0,1,0,0,0,1
FR_CVL_36,2020-04-06,62,10,9,21,25,37,4,6,7,2,9,12,0,3,0,0,1,2
FR_CVL_36,2020-04-07,63,10,14,23,24,39,4,6,11,3,9,14,5,2,4,1,0,2
FR_CVL_36,2020-04-08,63,11,16,25,25,38,6,5,13,3,9,16,2,2,2,0,0,2
FR_CVL_36,2020-04-09,66,11,19,25,27,39,6,5,15,4,9,16,3,0,2,1,0,0
FR_CVL_36,2020-04-10,78,9,20,29,32,46,5,4,16,4,10,19,1,4,1,0,1,3
FR_CVL_36,2020-04-11,83,9,23,30,36,47,5,4,16,7,11,19,3,1,0,3,1,0
FR_CVL_36,2020-04-12,81,9,24,32,34,47,5,4,17,7,12,20,1,2,1,0,1,1
FR_CVL_36,2020-04-13,91,9,24,38,41,50,5,4,17,7,13,25,0,6,0,0,1,5
FR_CVL_36,2020-04-14,90,9,26,38,42,48,5,4,18,8,13,25,2,0,1,1,0,0
FR_CVL_36,2020-04-15,97,9,27,38,47,50,5,4,18,9,13,25,1,0,0,1,0,0
FR_CVL_36,2020-04-16,96,9,30,38,48,48,5,4,18,12,13,25,3,0,0,3,0,0
FR_CVL_36,2020-04-17,94,9,38,39,48,46,5,4,21,17,14,25,8,1,3,5,1,0
FR_CVL_36,2020-04-18,97,9,38,41,50,47,5,4,21,17,15,26,0,2,0,0,1,1
FR_CVL_36,2020-04-19,96,9,38,44,50,46,5,4,21,17,17,27,0,3,0,0,2,1
FR_CVL_36,2020-04-20,97,9,39,46,52,45,5,4,22,17,17,29,1,2,1,0,0,2
FR_CVL_36,2020-04-21,110,8,44,50,62,48,5,3,25,19,18,32,5,4,3,2,1,3
FR_CVL_36,2020-04-22,110,8,49,56,60,50,4,4,29,20,22,34,5,6,4,1,4,2
FR_CVL_36,2020-04-23,109,8,54,57,58,51,4,4,32,22,23,34,5,1,3,2,1,0
FR_CVL_36,2020-04-24,112,9,54,58,59,53,5,4,32,22,24,34,0,1,0,0,1,0
FR_CVL_36,2020-04-25,117,10,55,60,62,55,6,4,32,23,25,35,1,2,0,1,1,1
FR_CVL_36,2020-04-26,117,10,55,61,62,55,6,4,32,23,25,36,0,1,0,0,0,1
FR_CVL_36,2020-04-27,116,10,55,63,63,53,6,4,32,23,26,37,0,2,0,0,1,1
FR_CVL_36,2020-04-28,115,9,55,63,62,53,5,4,32,23,26,37,0,0,0,0,0,0
FR_CVL_36,2020-04-29,120,9,60,64,64,56,6,3,37,23,26,38,5,1,5,0,0,1
FR_CVL_36,2020-04-30,126,9,60,64,68,58,6,3,37,23,26,38,0,0,0,0,0,0
FR_CVL_36,2020-05-01,127,9,61,65,69,58,6,3,37,24,27,38,1,1,0,1,1,0
FR_CVL_36,2020-05-02,129,9,61,65,70,59,6,3,37,24,27,38,0,0,0,0,0,0
FR_CVL_36,2020-05-03,130,9,62,65,70,60,6,3,38,24,27,38,1,0,1,0,0,0
FR_CVL_36,2020-05-04,125,8,64,68,66,59,6,2,40,24,29,39,2,3,2,0,2,1
FR_CVL_36,2020-05-05,116,8,72,69,61,55,6,2,44,28,30,39,8,1,4,4,1,0
FR_CVL_36,2020-05-06,114,8,75,69,62,52,6,2,44,31,30,39,3,0,0,3,0,0
FR_CVL_36,2020-05-07,110,7,80,69,58,52,5,2,48,32,30,39,5,0,4,1,0,0
FR_CVL_36,2020-05-08,108,6,83,69,59,49,4,2,48,35,30,39,3,0,0,3,0,0
FR_CVL_36,2020-05-09,107,6,83,70,59,48,4,2,48,35,30,40,0,1,0,0,0,1
FR_CVL_36,2020-05-10,107,6,84,70,59,48,4,2,49,35,30,40,1,0,1,0,0,0
FR_CVL_36,2020-05-11,106,6,84,71,58,48,4,2,49,35,31,40,0,1,0,0,1,0
FR_CVL_36,2020-05-12,104,5,86,71,57,47,3,2,50,36,31,40,2,0,1,1,0,0
FR_CVL_36,2020-05-13,101,5,89,71,55,46,3,2,52,37,31,40,3,0,2,1,0,0
FR_CVL_36,2020-05-14,101,5,90,72,55,46,2,3,52,38,32,40,1,1,0,1,1,0
FR_CVL_36,2020-05-15,100,5,92,72,55,45,2,3,52,40,32,40,2,0,0,2,0,0
FR_CVL_36,2020-05-16,100,5,92,72,55,45,2,3,52,40,32,40,0,0,0,0,0,0
FR_CVL_36,2020-05-17,99,5,92,73,54,45,2,3,52,40,33,40,0,1,0,0,1,0
FR_CVL_36,2020-05-18,99,5,94,73,52,47,2,3,54,40,33,40,2,0,2,0,0,0
FR_CVL_36,2020-05-19,97,4,95,74,51,46,2,2,55,40,33,41,1,1,1,0,0,1
FR_CVL_36,2020-05-20,98,4,95,74,52,46,2,2,55,40,33,41,0,0,0,0,0,0
FR_CVL_36,2020-05-21,97,4,95,75,51,46,2,2,55,40,34,41,0,1,0,0,1,0
FR_CVL_36,2020-05-22,94,4,99,75,50,44,2,2,57,42,34,41,4,0,2,2,0,0
FR_CVL_36,2020-05-23,94,4,99,75,50,44,2,2,57,42,34,41,0,0,0,0,0,0
FR_CVL_36,2020-05-24,94,4,99,75,50,44,2,2,57,42,34,41,0,0,0,0,0,0
FR_CVL_36,2020-05-25,93,4,99,76,49,44,2,2,57,42,35,41,0,1,0,0,1,0
FR_CVL_36,2020-05-26,92,4,100,76,48,44,2,2,58,42,35,41,1,0,1,0,0,0
FR_CVL_36,2020-05-27,92,4,100,76,48,44,2,2,58,42,35,41,0,0,0,0,0,0
FR_CVL_36,2020-05-28,92,4,100,76,48,44,2,2,58,42,35,41,0,0,0,0,0,0
FR_CVL_36,2020-05-29,90,3,102,76,47,43,1,2,59,43,35,41,2,0,1,1,0,0
FR_CVL_36,2020-05-30,90,3,102,76,47,43,1,2,59,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-05-31,90,3,102,76,47,43,1,2,59,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-01,90,3,102,76,47,43,1,2,59,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-02,90,3,102,76,47,43,1,2,59,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-03,88,3,104,76,45,43,1,2,61,43,35,41,2,0,2,0,0,0
FR_CVL_36,2020-06-04,88,3,104,76,45,43,1,2,61,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-05,88,3,104,76,45,43,1,2,61,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-06,88,3,104,76,45,43,1,2,61,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-07,88,3,104,76,45,43,1,2,61,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-08,88,3,104,76,45,43,1,2,61,43,35,41,0,0,0,0,0,0
FR_CVL_36,2020-06-09,84,3,107,77,43,41,1,2,63,44,35,42,3,1,2,1,0,1
FR_CVL_36,2020-06-10,84,3,107,77,43,41,1,2,63,44,35,42,0,0,0,0,0,0
FR_CVL_36,2020-06-11,84,3,107,77,43,41,1,2,63,44,35,42,0,0,0,0,0,0
FR_CVL_36,2020-06-12,84,3,107,77,43,41,1,2,63,44,35,42,0,0,0,0,0,0
FR_CVL_36,2020-06-13,82,3,109,78,42,40,1,2,64,45,36,42,2,1,1,1,1,0
FR_CVL_36,2020-06-14,82,3,109,78,42,40,1,2,64,45,36,42,0,0,0,0,0,0
FR_CVL_36,2020-06-15,82,3,109,78,42,40,1,2,64,45,36,42,0,0,0,0,0,0
FR_CVL_36,2020-06-16,82,3,109,78,42,40,1,2,64,45,36,42,0,0,0,0,0,0
FR_CVL_36,2020-06-17,81,3,109,79,41,40,1,2,64,45,37,42,0,1,0,0,1,0
FR_CVL_36,2020-06-18,81,3,109,79,41,40,1,2,64,45,37,42,0,0,0,0,0,0
FR_CVL_36,2020-06-19,81,3,109,79,41,40,1,2,64,45,37,42,0,0,0,0,0,0
FR_CVL_36,2020-06-20,81,3,109,79,41,40,1,2,64,45,37,42,0,0,0,0,0,0
FR_CVL_36,2020-06-21,81,3,109,79,41,40,1,2,64,45,37,42,0,0,0,0,0,0
FR_CVL_37,2020-03-18,4,1,0,0,2,2,0,1,0,0,0,0,,,,,,
FR_CVL_37,2020-03-19,6,3,0,0,2,4,1,2,0,0,0,0,0,0,0,0,0,0
FR_CVL_37,2020-03-20,12,5,0,1,4,8,1,4,0,0,0,1,0,1,0,0,0,1
FR_CVL_37,2020-03-21,12,4,1,1,4,8,0,4,1,0,0,1,1,0,1,0,0,0
FR_CVL_37,2020-03-22,13,5,1,1,5,8,1,4,1,0,0,1,0,0,0,0,0,0
FR_CVL_37,2020-03-23,18,6,1,2,7,11,1,5,1,0,0,2,0,1,0,0,0,1
FR_CVL_37,2020-03-24,22,6,4,2,8,14,1,5,3,1,0,2,3,0,2,1,0,0
FR_CVL_37,2020-03-25,25,8,9,3,9,16,1,7,6,3,0,3,5,1,3,2,0,1
FR_CVL_37,2020-03-26,33,9,12,3,13,20,1,8,7,5,0,3,3,0,1,2,0,0
FR_CVL_37,2020-03-27,51,15,18,3,24,27,3,12,10,8,0,3,6,0,3,3,0,0
FR_CVL_37,2020-03-28,51,15,22,4,24,27,3,12,12,10,0,4,4,1,2,2,0,1
FR_CVL_37,2020-03-29,57,17,23,4,26,31,4,13,12,11,0,4,1,0,0,1,0,0
FR_CVL_37,2020-03-30,81,21,25,4,38,43,6,15,13,12,0,4,2,0,1,1,0,0
FR_CVL_37,2020-03-31,101,29,27,5,46,55,9,20,14,13,1,4,2,1,1,1,1,0
FR_CVL_37,2020-04-01,113,35,37,11,52,61,11,24,19,18,2,9,10,6,5,5,1,5
FR_CVL_37,2020-04-02,137,42,40,12,62,75,14,28,19,21,3,9,3,1,0,3,1,0
FR_CVL_37,2020-04-03,147,45,47,16,67,80,14,31,21,26,4,12,7,4,2,5,1,3
FR_CVL_37,2020-04-04,169,54,55,17,78,91,16,38,27,28,4,13,8,1,6,2,0,1
FR_CVL_37,2020-04-05,165,52,64,18,79,86,14,38,30,34,4,14,9,1,3,6,0,1
FR_CVL_37,2020-04-06,180,56,66,21,84,96,14,42,30,36,5,16,2,3,0,2,1,2
FR_CVL_37,2020-04-07,180,60,73,21,84,96,18,42,32,41,5,16,7,0,2,5,0,0
FR_CVL_37,2020-04-08,191,59,82,23,94,97,16,43,34,48,5,18,9,2,2,7,0,2
FR_CVL_37,2020-04-09,192,60,89,28,95,97,16,44,38,51,7,21,7,5,4,3,2,3
FR_CVL_37,2020-04-10,191,59,95,30,96,95,15,44,40,55,8,22,6,2,2,4,1,1
FR_CVL_37,2020-04-11,198,62,103,33,100,98,19,43,43,60,9,24,8,3,3,5,1,2
FR_CVL_37,2020-04-12,192,56,106,36,93,99,14,42,47,59,11,25,3,3,4,-1,2,1
FR_CVL_37,2020-04-13,194,55,108,36,96,98,13,42,47,61,11,25,2,0,0,2,0,0
FR_CVL_37,2020-04-14,193,49,115,38,94,99,12,37,52,63,11,27,7,2,5,2,0,2
FR_CVL_37,2020-04-15,193,48,130,40,93,100,12,36,59,71,11,29,15,2,7,8,0,2
FR_CVL_37,2020-04-16,185,45,139,42,91,94,9,36,64,75,12,30,9,2,5,4,1,1
FR_CVL_37,2020-04-17,178,43,144,45,87,91,9,34,67,77,14,31,5,3,3,2,2,1
FR_CVL_37,2020-04-18,172,41,150,48,82,90,8,33,70,80,15,33,6,3,3,3,1,2
FR_CVL_37,2020-04-19,167,41,155,49,81,86,8,33,71,84,16,33,5,1,1,4,1,0
FR_CVL_37,2020-04-20,164,41,161,51,78,86,8,33,76,85,17,34,6,2,5,1,1,1
FR_CVL_37,2020-04-21,167,40,167,51,83,84,9,31,79,88,17,34,6,0,3,3,0,0
FR_CVL_37,2020-04-22,167,37,167,53,83,84,8,29,80,87,17,36,0,2,1,-1,0,2
FR_CVL_37,2020-04-23,161,36,174,54,84,77,8,28,82,92,17,37,7,1,2,5,0,1
FR_CVL_37,2020-04-24,158,36,181,55,81,77,8,28,88,93,17,38,7,1,6,1,0,1
FR_CVL_37,2020-04-25,162,38,184,56,83,79,8,30,90,94,17,39,3,1,2,1,0,1
FR_CVL_37,2020-04-26,164,35,187,56,83,81,8,27,93,94,17,39,3,0,3,0,0,0
FR_CVL_37,2020-04-27,161,35,188,57,82,79,9,26,93,95,18,39,1,1,0,1,1,0
FR_CVL_37,2020-04-28,158,35,191,57,80,78,9,26,94,97,18,39,3,0,1,2,0,0
FR_CVL_37,2020-04-29,162,33,203,58,87,75,8,25,101,102,19,39,12,1,7,5,1,0
FR_CVL_37,2020-04-30,159,29,206,58,86,73,7,22,104,102,19,39,3,0,3,0,0,0
FR_CVL_37,2020-05-01,159,30,209,59,84,75,6,24,107,102,20,39,3,1,3,0,1,0
FR_CVL_37,2020-05-02,159,29,211,59,83,76,6,23,108,103,20,39,2,0,1,1,0,0
FR_CVL_37,2020-05-03,162,29,211,59,84,78,6,23,108,103,20,39,0,0,0,0,0,0
FR_CVL_37,2020-05-04,162,28,210,63,85,77,5,23,107,103,21,42,-1,4,-1,0,1,3
FR_CVL_37,2020-05-05,155,24,222,65,81,74,5,19,113,109,23,42,12,2,6,6,2,0
FR_CVL_37,2020-05-06,153,23,228,65,78,75,5,18,119,109,23,42,6,0,6,0,0,0
FR_CVL_37,2020-05-07,151,23,231,66,76,75,5,18,121,110,23,43,3,1,2,1,0,1
FR_CVL_37,2020-05-08,146,22,235,66,75,71,5,17,122,113,23,43,4,0,1,3,0,0
FR_CVL_37,2020-05-09,145,21,236,67,75,70,5,16,123,113,23,44,1,1,1,0,0,1
FR_CVL_37,2020-05-10,145,19,236,68,75,70,5,14,123,113,23,45,0,1,0,0,0,1
FR_CVL_37,2020-05-11,141,17,241,69,72,69,5,12,127,114,23,46,5,1,4,1,0,1
FR_CVL_37,2020-05-12,135,17,250,71,69,66,5,12,131,119,24,47,9,2,4,5,1,1
FR_CVL_37,2020-05-13,133,15,254,71,69,64,4,11,133,121,24,47,4,0,2,2,0,0
FR_CVL_37,2020-05-14,129,14,258,73,66,63,3,11,135,123,25,48,4,2,2,2,1,1
