date,new_hospitalized,incid_rea,new_deceased,new_recovered,key,total_hospitalized,total_deceased,total_recovered
2020-06-12,1,0,0,3,FR_ARA_07,661,112,543
2020-06-13,0,0,0,0,FR_ARA_07,661,112,543
2020-06-14,0,0,0,0,FR_ARA_07,661,112,543
2020-06-15,0,0,0,2,FR_ARA_07,661,112,545
2020-06-16,0,0,0,0,FR_ARA_07,661,112,545
2020-06-17,0,0,0,3,FR_ARA_07,661,112,548
2020-06-18,0,0,0,2,FR_ARA_07,661,112,550
2020-06-19,0,0,0,1,FR_ARA_07,661,112,551
2020-06-20,0,0,0,7,FR_ARA_07,661,112,558
2020-06-21,0,0,0,1,FR_ARA_07,661,112,559
2020-06-22,0,0,0,0,FR_ARA_07,661,112,559
2020-06-23,0,0,0,1,FR_ARA_07,661,112,560
2020-06-24,1,0,0,1,FR_ARA_07,662,112,561
2020-03-19,1,1,0,0,FR_GES_08,1,0,0
2020-03-20,0,0,0,0,FR_GES_08,1,0,0
2020-03-21,2,0,0,0,FR_GES_08,3,0,0
2020-03-22,1,0,0,0,FR_GES_08,4,0,0
2020-03-23,1,1,0,0,FR_GES_08,5,0,0
2020-03-24,0,0,0,1,FR_GES_08,5,0,1
2020-03-25,2,1,0,0,FR_GES_08,7,0,1
2020-03-26,8,4,0,0,FR_GES_08,15,0,1
2020-03-27,0,1,0,0,FR_GES_08,15,0,1
2020-03-28,11,0,0,0,FR_GES_08,26,0,1
2020-03-29,7,3,0,2,FR_GES_08,33,0,3
2020-03-30,0,0,0,0,FR_GES_08,33,0,3
2020-03-31,22,7,0,4,FR_GES_08,55,0,7
2020-04-01,7,0,1,0,FR_GES_08,62,1,7
2020-04-02,13,1,0,2,FR_GES_08,75,1,9
2020-04-03,5,0,1,3,FR_GES_08,80,2,12
2020-04-04,11,2,1,7,FR_GES_08,91,3,19
2020-04-05,10,0,1,3,FR_GES_08,101,4,22
2020-04-06,8,0,2,7,FR_GES_08,109,6,29
2020-04-07,13,1,0,7,FR_GES_08,122,6,36
2020-04-08,0,0,1,2,FR_GES_08,122,7,38
2020-04-09,11,2,2,5,FR_GES_08,133,9,43
2020-04-10,9,0,2,8,FR_GES_08,142,11,51
2020-04-11,3,1,2,5,FR_GES_08,145,13,56
2020-04-12,23,0,4,9,FR_GES_08,168,17,65
2020-04-13,0,0,0,0,FR_GES_08,168,17,65
2020-04-14,9,3,4,5,FR_GES_08,177,21,70
2020-04-15,7,1,4,8,FR_GES_08,184,25,78
2020-04-16,3,0,0,5,FR_GES_08,187,25,83
2020-04-17,14,3,2,9,FR_GES_08,201,27,92
2020-04-18,11,1,5,7,FR_GES_08,212,32,99
2020-04-19,6,0,3,3,FR_GES_08,218,35,102
2020-04-20,3,0,5,0,FR_GES_08,221,40,102
2020-04-21,4,0,1,2,FR_GES_08,225,41,104
2020-04-22,10,2,2,6,FR_GES_08,235,43,110
2020-04-23,2,0,0,1,FR_GES_08,237,43,111
2020-04-24,4,1,0,1,FR_GES_08,241,43,112
2020-04-25,3,1,1,1,FR_GES_08,244,44,113
2020-04-26,4,0,0,3,FR_GES_08,248,44,116
2020-04-27,4,0,2,1,FR_GES_08,252,46,117
2020-04-28,1,0,0,0,FR_GES_08,253,46,117
2020-04-29,4,0,0,7,FR_GES_08,257,46,124
2020-04-30,0,0,0,1,FR_GES_08,257,46,125
2020-05-01,3,0,2,0,FR_GES_08,260,48,125
2020-05-02,2,0,0,0,FR_GES_08,262,48,125
2020-05-03,2,2,1,0,FR_GES_08,264,49,125
2020-05-04,0,0,1,1,FR_GES_08,264,50,126
2020-05-05,2,0,0,1,FR_GES_08,266,50,127
2020-05-06,12,0,0,2,FR_GES_08,278,50,129
2020-05-07,6,1,0,2,FR_GES_08,284,50,131
2020-05-08,0,0,0,0,FR_GES_08,284,50,131
2020-05-09,7,1,4,0,FR_GES_08,291,54,131
2020-05-10,3,0,0,1,FR_GES_08,294,54,132
2020-05-11,1,0,1,0,FR_GES_08,295,55,132
2020-05-12,1,0,1,2,FR_GES_08,296,56,134
2020-05-13,0,0,0,0,FR_GES_08,296,56,134
2020-05-14,7,0,2,2,FR_GES_08,303,58,136
2020-05-15,6,0,1,4,FR_GES_08,309,59,140
2020-05-16,0,0,0,1,FR_GES_08,309,59,141
2020-05-17,2,1,0,0,FR_GES_08,311,59,141
2020-05-18,0,0,0,0,FR_GES_08,311,59,141
2020-05-19,29,3,2,1,FR_GES_08,340,61,142
2020-05-20,0,0,0,1,FR_GES_08,340,61,143
2020-05-21,0,0,1,0,FR_GES_08,340,62,143
2020-05-22,3,0,0,2,FR_GES_08,343,62,145
2020-05-23,0,0,0,0,FR_GES_08,343,62,145
2020-05-24,0,0,0,2,FR_GES_08,343,62,147
2020-05-25,0,0,0,0,FR_GES_08,343,62,147
2020-05-26,1,0,0,8,FR_GES_08,344,62,155
2020-05-27,1,0,0,0,FR_GES_08,345,62,155
2020-05-28,1,0,0,3,FR_GES_08,346,62,158
2020-05-29,1,1,0,0,FR_GES_08,347,62,158
2020-05-30,2,0,1,26,FR_GES_08,349,63,184
2020-05-31,0,0,0,0,FR_GES_08,349,63,184
2020-06-01,3,1,0,2,FR_GES_08,352,63,186
2020-06-02,0,0,0,0,FR_GES_08,352,63,186
2020-06-03,0,0,0,0,FR_GES_08,352,63,186
2020-06-04,1,0,0,3,FR_GES_08,353,63,189
2020-06-05,0,0,0,10,FR_GES_08,353,63,199
2020-06-06,8,2,0,0,FR_GES_08,361,63,199
2020-06-07,0,0,0,1,FR_GES_08,361,63,200
2020-06-08,0,0,0,0,FR_GES_08,361,63,200
2020-06-09,0,0,0,0,FR_GES_08,361,63,200
2020-06-10,0,0,0,3,FR_GES_08,361,63,203
2020-06-11,6,1,0,16,FR_GES_08,367,63,219
2020-06-12,0,0,0,1,FR_GES_08,367,63,220
2020-06-13,0,0,0,1,FR_GES_08,367,63,221
2020-06-14,0,0,0,1,FR_GES_08,367,63,222
2020-06-15,0,0,2,0,FR_GES_08,367,65,222
2020-06-16,0,0,0,1,FR_GES_08,367,65,223
2020-06-17,0,0,0,1,FR_GES_08,367,65,224
2020-06-18,0,0,0,0,FR_GES_08,367,65,224
2020-06-19,0,0,0,1,FR_GES_08,367,65,225
2020-06-20,0,0,2,0,FR_GES_08,367,67,225
2020-06-21,0,0,0,0,FR_GES_08,367,67,225
2020-06-22,0,0,1,0,FR_GES_08,367,68,225
2020-06-23,0,0,0,1,FR_GES_08,367,68,226
2020-06-24,0,0,0,0,FR_GES_08,367,68,226
2020-03-19,0,0,0,0,FR_OCC_09,0,0,0
2020-03-20,1,0,0,0,FR_OCC_09,1,0,0
2020-03-21,1,0,0,1,FR_OCC_09,2,0,1
2020-03-22,1,0,0,0,FR_OCC_09,3,0,1
2020-03-23,1,2,0,0,FR_OCC_09,4,0,1
2020-03-24,1,0,0,0,FR_OCC_09,5,0,1
2020-03-25,5,0,0,1,FR_OCC_09,10,0,2
2020-03-26,0,1,0,0,FR_OCC_09,10,0,2
2020-03-27,1,0,0,0,FR_OCC_09,11,0,2
2020-03-28,0,0,0,0,FR_OCC_09,11,0,2
2020-03-29,0,1,0,0,FR_OCC_09,11,0,2
2020-03-30,2,1,0,0,FR_OCC_09,13,0,2
2020-03-31,3,0,0,2,FR_OCC_09,16,0,4
2020-04-01,5,3,0,1,FR_OCC_09,21,0,5
2020-04-02,2,0,1,1,FR_OCC_09,23,1,6
2020-04-03,0,0,0,0,FR_OCC_09,23,1,6
2020-04-04,1,0,0,2,FR_OCC_09,24,1,8
2020-04-05,3,0,0,0,FR_OCC_09,27,1,8
2020-04-06,1,0,0,1,FR_OCC_09,28,1,9
2020-04-07,2,0,0,1,FR_OCC_09,30,1,10
2020-04-08,3,0,0,1,FR_OCC_09,33,1,11
2020-04-09,1,0,0,1,FR_OCC_09,34,1,12
2020-04-10,1,0,0,4,FR_OCC_09,35,1,16
2020-04-11,0,0,0,0,FR_OCC_09,35,1,16
2020-04-12,1,0,0,0,FR_OCC_09,36,1,16
2020-04-13,0,0,0,0,FR_OCC_09,36,1,16
2020-04-14,0,0,0,0,FR_OCC_09,36,1,16
2020-04-15,2,0,0,0,FR_OCC_09,38,1,16
2020-04-16,0,0,0,0,FR_OCC_09,38,1,16
2020-04-17,2,1,1,4,FR_OCC_09,40,2,20
2020-04-18,0,0,0,0,FR_OCC_09,40,2,20
2020-04-19,0,0,0,1,FR_OCC_09,40,2,21
2020-04-20,1,0,0,1,FR_OCC_09,41,2,22
2020-04-21,0,0,0,1,FR_OCC_09,41,2,23
2020-04-22,0,0,0,0,FR_OCC_09,41,2,23
2020-04-23,1,0,0,0,FR_OCC_09,42,2,23
2020-04-24,1,0,0,4,FR_OCC_09,43,2,27
2020-04-25,0,0,0,0,FR_OCC_09,43,2,27
2020-04-26,0,0,0,0,FR_OCC_09,43,2,27
2020-04-27,0,0,0,1,FR_OCC_09,43,2,28
2020-04-28,0,0,0,0,FR_OCC_09,43,2,28
2020-04-29,0,0,0,0,FR_OCC_09,43,2,28
2020-04-30,0,0,0,0,FR_OCC_09,43,2,28
2020-05-01,0,0,0,3,FR_OCC_09,43,2,31
2020-05-02,0,0,0,1,FR_OCC_09,43,2,32
2020-05-03,0,0,0,0,FR_OCC_09,43,2,32
2020-05-04,0,0,0,0,FR_OCC_09,43,2,32
2020-05-05,0,0,0,0,FR_OCC_09,43,2,32
2020-05-06,0,0,0,0,FR_OCC_09,43,2,32
2020-05-07,0,0,0,0,FR_OCC_09,43,2,32
2020-05-08,0,1,0,0,FR_OCC_09,43,2,32
2020-05-09,0,0,0,0,FR_OCC_09,43,2,32
2020-05-10,0,0,0,0,FR_OCC_09,43,2,32
2020-05-11,0,0,0,0,FR_OCC_09,43,2,32
2020-05-12,0,0,0,0,FR_OCC_09,43,2,32
2020-05-13,0,0,0,0,FR_OCC_09,43,2,32
2020-05-14,0,0,0,0,FR_OCC_09,43,2,32
2020-05-15,0,0,0,0,FR_OCC_09,43,2,32
2020-05-16,0,0,0,0,FR_OCC_09,43,2,32
2020-05-17,0,0,0,0,FR_OCC_09,43,2,32
2020-05-18,0,0,0,0,FR_OCC_09,43,2,32
2020-05-19,0,0,0,0,FR_OCC_09,43,2,32
2020-05-20,2,0,0,0,FR_OCC_09,45,2,32
2020-05-21,1,0,0,0,FR_OCC_09,46,2,32
2020-05-22,0,0,1,2,FR_OCC_09,46,3,34
2020-05-23,0,0,0,0,FR_OCC_09,46,3,34
2020-05-24,0,0,0,0,FR_OCC_09,46,3,34
2020-05-25,0,0,0,0,FR_OCC_09,46,3,34
2020-05-26,0,0,0,0,FR_OCC_09,46,3,34
2020-05-27,0,0,0,1,FR_OCC_09,46,3,35
2020-05-28,0,0,0,0,FR_OCC_09,46,3,35
2020-05-29,0,0,0,0,FR_OCC_09,46,3,35
2020-05-30,0,0,0,0,FR_OCC_09,46,3,35
2020-05-31,0,0,0,0,FR_OCC_09,46,3,35
2020-06-01,0,0,0,0,FR_OCC_09,46,3,35
2020-06-02,0,0,0,0,FR_OCC_09,46,3,35
2020-06-03,0,0,0,0,FR_OCC_09,46,3,35
2020-06-04,0,0,0,0,FR_OCC_09,46,3,35
2020-06-05,0,0,0,0,FR_OCC_09,46,3,35
2020-06-06,0,0,0,0,FR_OCC_09,46,3,35
2020-06-07,0,0,0,0,FR_OCC_09,46,3,35
2020-06-08,0,0,0,0,FR_OCC_09,46,3,35
2020-06-09,0,0,0,0,FR_OCC_09,46,3,35
2020-06-10,0,0,0,0,FR_OCC_09,46,3,35
2020-06-11,0,0,0,1,FR_OCC_09,46,3,36
2020-06-12,0,0,0,0,FR_OCC_09,46,3,36
2020-06-13,0,0,0,0,FR_OCC_09,46,3,36
2020-06-14,0,0,0,0,FR_OCC_09,46,3,36
2020-06-15,0,0,0,0,FR_OCC_09,46,3,36
2020-06-16,0,0,0,0,FR_OCC_09,46,3,36
2020-06-17,0,0,0,0,FR_OCC_09,46,3,36
2020-06-18,0,0,0,0,FR_OCC_09,46,3,36
2020-06-19,0,0,0,0,FR_OCC_09,46,3,36
2020-06-20,0,0,0,0,FR_OCC_09,46,3,36
2020-06-21,0,0,0,0,FR_OCC_09,46,3,36
2020-06-22,0,0,0,0,FR_OCC_09,46,3,36
2020-06-23,0,0,0,0,FR_OCC_09,46,3,36
2020-06-24,0,0,0,0,FR_OCC_09,46,3,36
2020-03-19,6,2,0,0,FR_GES_10,6,0,0
2020-03-20,2,0,0,0,FR_GES_10,8,0,0
2020-03-21,6,2,0,0,FR_GES_10,14,0,0
2020-03-22,9,0,0,0,FR_GES_10,23,0,0
2020-03-23,9,0,2,0,FR_GES_10,32,2,0
2020-03-24,3,0,0,0,FR_GES_10,35,2,0
2020-03-25,17,5,4,3,FR_GES_10,52,6,3
2020-03-26,12,2,0,0,FR_GES_10,64,6,3
2020-03-27,4,0,0,0,FR_GES_10,68,6,3
2020-03-28,4,0,1,0,FR_GES_10,72,7,3
2020-03-29,1,0,0,0,FR_GES_10,73,7,3
2020-03-30,6,0,0,1,FR_GES_10,79,7,4
2020-03-31,13,1,1,0,FR_GES_10,92,8,4
2020-04-01,34,5,10,17,FR_GES_10,126,18,21
2020-04-02,23,2,2,3,FR_GES_10,149,20,24
2020-04-03,9,0,1,1,FR_GES_10,158,21,25
2020-04-04,38,4,10,2,FR_GES_10,196,31,27
2020-04-05,10,1,3,0,FR_GES_10,206,34,27
2020-04-06,3,0,1,0,FR_GES_10,209,35,27
2020-04-07,13,2,3,3,FR_GES_10,222,38,30
2020-04-08,29,2,9,24,FR_GES_10,251,47,54
2020-04-09,157,5,11,95,FR_GES_10,408,58,149
2020-04-10,62,0,1,49,FR_GES_10,470,59,198
2020-04-11,9,0,2,0,FR_GES_10,479,61,198
2020-04-12,24,0,0,1,FR_GES_10,503,61,199
2020-04-13,24,0,1,1,FR_GES_10,527,62,200
2020-04-14,19,1,3,0,FR_GES_10,546,65,200
2020-04-15,11,0,5,14,FR_GES_10,557,70,214
2020-04-16,18,0,2,18,FR_GES_10,575,72,232
2020-04-17,13,0,2,13,FR_GES_10,588,74,245
2020-04-18,6,0,0,1,FR_GES_10,594,74,246
2020-04-19,4,1,2,0,FR_GES_10,598,76,246
2020-04-20,12,0,6,19,FR_GES_10,610,82,265
2020-04-21,7,5,4,10,FR_GES_10,617,86,275
2020-04-22,37,0,7,27,FR_GES_10,654,93,302
2020-04-23,29,2,5,14,FR_GES_10,683,98,316
2020-04-24,29,0,4,27,FR_GES_10,712,102,343
2020-04-25,12,0,3,2,FR_GES_10,724,105,345
2020-04-26,0,0,1,0,FR_GES_10,724,106,345
2020-04-27,6,0,2,7,FR_GES_10,730,108,352
2020-04-28,29,5,1,22,FR_GES_10,759,109,374
2020-04-29,26,4,3,27,FR_GES_10,785,112,401
2020-04-30,16,3,2,10,FR_GES_10,801,114,411
2020-05-01,19,0,1,18,FR_GES_10,820,115,429
2020-05-02,13,2,0,3,FR_GES_10,833,115,432
2020-05-03,14,5,0,20,FR_GES_10,847,115,452
2020-05-04,4,0,1,0,FR_GES_10,851,116,452
2020-05-05,4,0,0,10,FR_GES_10,855,116,462
2020-05-06,10,0,2,16,FR_GES_10,865,118,478
2020-05-07,20,0,4,27,FR_GES_10,885,122,505
2020-05-08,5,0,1,3,FR_GES_10,890,123,508
2020-05-09,1,0,0,0,FR_GES_10,891,123,508
2020-05-10,4,0,0,2,FR_GES_10,895,123,510
2020-05-11,2,0,1,0,FR_GES_10,897,124,510
2020-05-12,2,0,0,5,FR_GES_10,899,124,515
2020-05-13,2,0,0,5,FR_GES_10,901,124,520
2020-05-14,6,0,0,1,FR_GES_10,907,124,521
2020-05-15,1,0,0,8,FR_GES_10,908,124,529
2020-05-16,5,0,0,4,FR_GES_10,913,124,533
2020-05-17,2,0,3,1,FR_GES_10,915,127,534
2020-05-18,7,0,0,0,FR_GES_10,922,127,534
2020-05-19,1,0,0,5,FR_GES_10,923,127,539
2020-05-20,3,0,2,12,FR_GES_10,926,129,551
2020-05-21,5,0,0,2,FR_GES_10,931,129,553
2020-05-22,1,0,0,0,FR_GES_10,932,129,553
2020-05-23,1,0,0,0,FR_GES_10,933,129,553
2020-05-24,1,0,2,0,FR_GES_10,934,131,553
2020-05-25,0,0,0,0,FR_GES_10,934,131,553
2020-05-26,1,0,2,5,FR_GES_10,935,133,558
2020-05-27,2,0,1,19,FR_GES_10,937,134,577
2020-05-28,4,0,2,3,FR_GES_10,941,136,580
2020-05-29,2,0,1,5,FR_GES_10,943,137,585
2020-05-30,0,0,0,3,FR_GES_10,943,137,588
2020-05-31,0,0,0,1,FR_GES_10,943,137,589
2020-06-01,1,0,0,0,FR_GES_10,944,137,589
2020-06-02,0,0,1,0,FR_GES_10,944,138,589
2020-06-03,0,0,0,4,FR_GES_10,944,138,593
2020-06-04,0,0,0,3,FR_GES_10,944,138,596
2020-06-05,1,0,1,12,FR_GES_10,945,139,608
2020-06-06,1,0,0,2,FR_GES_10,946,139,610
2020-06-07,1,0,0,0,FR_GES_10,947,139,610
2020-06-08,0,0,0,0,FR_GES_10,947,139,610
2020-06-09,2,0,0,2,FR_GES_10,949,139,612
2020-06-10,0,0,0,4,FR_GES_10,949,139,616
2020-06-11,4,1,0,1,FR_GES_10,953,139,617
2020-06-12,0,0,0,0,FR_GES_10,953,139,617
2020-06-13,0,0,0,3,FR_GES_10,953,139,620
2020-06-14,0,0,1,0,FR_GES_10,953,140,620
2020-06-15,0,0,0,0,FR_GES_10,953,140,620
2020-06-16,2,0,0,2,FR_GES_10,955,140,622
2020-06-17,1,0,0,3,FR_GES_10,956,140,625
2020-06-18,1,0,0,0,FR_GES_10,957,140,625
2020-06-19,0,0,0,0,FR_GES_10,957,140,625
2020-06-20,2,0,0,0,FR_GES_10,959,140,625
2020-06-21,0,0,0,0,FR_GES_10,959,140,625
2020-06-22,0,0,0,0,FR_GES_10,959,140,625
2020-06-23,0,0,0,3,FR_GES_10,959,140,628
2020-06-24,0,0,0,1,FR_GES_10,959,140,629
2020-03-19,19,5,3,4,FR_OCC_11,19,3,4
2020-03-20,10,2,2,1,FR_OCC_11,29,5,5
2020-03-21,2,0,3,0,FR_OCC_11,31,8,5
2020-03-22,5,1,1,0,FR_OCC_11,36,9,5
2020-03-23,14,4,0,0,FR_OCC_11,50,9,5
2020-03-24,5,1,2,0,FR_OCC_11,55,11,5
2020-03-25,12,1,3,4,FR_OCC_11,67,14,9
2020-03-26,13,3,1,6,FR_OCC_11,80,15,15
2020-03-27,12,2,0,3,FR_OCC_11,92,15,18
2020-03-28,21,4,2,8,FR_OCC_11,113,17,26
2020-03-29,18,1,0,1,FR_OCC_11,131,17,27
2020-03-30,19,2,1,1,FR_OCC_11,150,18,28
2020-03-31,15,1,2,3,FR_OCC_11,165,20,31
2020-04-01,17,3,2,7,FR_OCC_11,182,22,38
2020-04-02,31,1,0,6,FR_OCC_11,213,22,44
2020-04-03,7,1,4,3,FR_OCC_11,220,26,47
2020-04-04,8,1,0,3,FR_OCC_11,228,26,50
2020-04-05,8,0,3,6,FR_OCC_11,236,29,56
2020-04-06,7,2,4,4,FR_OCC_11,243,33,60
2020-04-07,13,2,0,9,FR_OCC_11,256,33,69
2020-04-08,4,0,3,5,FR_OCC_11,260,36,74
2020-04-09,3,1,2,5,FR_OCC_11,263,38,79
2020-04-10,6,2,1,7,FR_OCC_11,269,39,86
2020-04-11,7,0,0,5,FR_OCC_11,276,39,91
2020-04-12,17,0,1,0,FR_OCC_11,293,40,91
2020-04-13,13,1,2,0,FR_OCC_11,306,42,91
2020-04-14,4,0,1,2,FR_OCC_11,310,43,93
2020-04-15,4,0,0,10,FR_OCC_11,314,43,103
2020-04-16,3,0,0,4,FR_OCC_11,317,43,107
2020-04-17,7,1,0,7,FR_OCC_11,324,43,114
2020-04-18,7,0,1,9,FR_OCC_11,331,44,123
2020-04-19,3,1,0,0,FR_OCC_11,334,44,123
2020-04-20,2,0,1,1,FR_OCC_11,336,45,124
2020-04-21,11,1,1,6,FR_OCC_11,347,46,130
2020-04-22,1,0,1,2,FR_OCC_11,348,47,132
2020-04-23,1,0,1,5,FR_OCC_11,349,48,137
2020-04-24,5,0,2,3,FR_OCC_11,354,50,140
2020-04-25,3,0,1,5,FR_OCC_11,357,51,145
2020-04-26,1,0,1,2,FR_OCC_11,358,52,147
2020-04-27,3,1,0,0,FR_OCC_11,361,52,147
2020-04-28,8,2,1,7,FR_OCC_11,369,53,154
2020-04-29,0,0,0,2,FR_OCC_11,369,53,156
2020-04-30,7,0,2,11,FR_OCC_11,376,55,167
2020-05-01,5,0,0,1,FR_OCC_11,381,55,168
2020-05-02,1,0,0,1,FR_OCC_11,382,55,169
2020-05-03,5,0,0,0,FR_OCC_11,387,55,169
2020-05-04,2,0,1,4,FR_OCC_11,389,56,173
2020-05-05,1,0,1,3,FR_OCC_11,390,57,176
2020-05-06,0,0,0,9,FR_OCC_11,390,57,185
2020-05-07,2,0,1,2,FR_OCC_11,392,58,187
2020-05-08,1,0,0,0,FR_OCC_11,393,58,187
2020-05-09,0,1,1,1,FR_OCC_11,393,59,188
2020-05-10,0,0,0,0,FR_OCC_11,393,59,188
2020-05-11,0,0,0,0,FR_OCC_11,393,59,188
2020-05-12,0,0,0,3,FR_OCC_11,393,59,191
2020-05-13,9,1,0,2,FR_OCC_11,402,59,193
2020-05-14,0,0,0,3,FR_OCC_11,402,59,196
2020-05-15,0,0,0,3,FR_OCC_11,402,59,199
2020-05-16,7,1,0,0,FR_OCC_11,409,59,199
2020-05-17,3,0,0,3,FR_OCC_11,412,59,202
2020-05-18,3,1,0,0,FR_OCC_11,415,59,202
2020-05-19,2,0,0,2,FR_OCC_11,417,59,204
2020-05-20,2,0,0,5,FR_OCC_11,419,59,209
2020-05-21,2,0,0,2,FR_OCC_11,421,59,211
2020-05-22,7,2,0,1,FR_OCC_11,428,59,212
2020-05-23,0,0,0,0,FR_OCC_11,428,59,212
2020-05-24,0,0,0,0,FR_OCC_11,428,59,212
2020-05-25,1,0,0,0,FR_OCC_11,429,59,212
2020-05-26,0,0,0,1,FR_OCC_11,429,59,213
2020-05-27,0,0,0,1,FR_OCC_11,429,59,214
2020-05-28,2,0,0,4,FR_OCC_11,431,59,218
2020-05-29,1,0,0,1,FR_OCC_11,432,59,219
2020-05-30,1,0,0,1,FR_OCC_11,433,59,220
2020-05-31,2,0,1,0,FR_OCC_11,435,60,220
2020-06-01,0,0,1,0,FR_OCC_11,435,61,220
2020-06-02,2,0,1,0,FR_OCC_11,437,62,220
2020-06-03,0,0,0,2,FR_OCC_11,437,62,222
2020-06-04,0,0,0,2,FR_OCC_11,437,62,224
2020-06-05,1,0,0,1,FR_OCC_11,438,62,225
2020-06-06,0,0,0,1,FR_OCC_11,438,62,226
2020-06-07,0,0,0,0,FR_OCC_11,438,62,226
2020-06-08,0,0,0,0,FR_OCC_11,438,62,226
2020-06-09,0,0,0,0,FR_OCC_11,438,62,226
2020-06-10,0,0,0,0,FR_OCC_11,438,62,226
2020-06-11,1,0,0,0,FR_OCC_11,439,62,226
2020-06-12,0,0,0,0,FR_OCC_11,439,62,226
2020-06-13,0,0,0,0,FR_OCC_11,439,62,226
2020-06-14,0,0,0,0,FR_OCC_11,439,62,226
2020-06-15,1,0,0,1,FR_OCC_11,440,62,227
2020-06-16,0,0,0,2,FR_OCC_11,440,62,229
2020-06-17,0,0,0,0,FR_OCC_11,440,62,229
2020-06-18,0,0,0,1,FR_OCC_11,440,62,230
2020-06-19,0,0,0,0,FR_OCC_11,440,62,230
2020-06-20,1,0,0,1,FR_OCC_11,441,62,231
2020-06-21,3,0,0,0,FR_OCC_11,444,62,231
2020-06-22,1,0,0,0,FR_OCC_11,445,62,231
2020-06-23,1,0,0,0,FR_OCC_11,446,62,231
2020-06-24,0,0,0,1,FR_OCC_11,446,62,232
2020-03-19,4,0,1,1,FR_OCC_12,4,1,1
2020-03-20,4,0,0,1,FR_OCC_12,8,1,2
2020-03-21,1,0,0,1,FR_OCC_12,9,1,3
2020-03-22,2,0,0,0,FR_OCC_12,11,1,3
2020-03-23,1,0,0,0,FR_OCC_12,12,1,3
2020-03-24,6,1,0,1,FR_OCC_12,18,1,4
2020-03-25,3,1,0,5,FR_OCC_12,21,1,9
2020-03-26,8,2,3,0,FR_OCC_12,29,4,9
2020-03-27,6,1,1,3,FR_OCC_12,35,5,12
2020-03-28,13,0,1,3,FR_OCC_12,48,6,15
2020-03-29,2,0,0,0,FR_OCC_12,50,6,15
2020-03-30,10,2,0,3,FR_OCC_12,60,6,18
2020-03-31,6,2,0,2,FR_OCC_12,66,6,20
2020-04-01,4,0,1,0,FR_OCC_12,70,7,20
2020-04-02,9,1,0,3,FR_OCC_12,79,7,23
2020-04-03,13,1,1,2,FR_OCC_12,92,8,25
2020-04-04,10,2,2,5,FR_OCC_12,102,10,30
2020-04-05,3,0,2,3,FR_OCC_12,105,12,33
2020-04-06,6,0,0,1,FR_OCC_12,111,12,34
2020-04-07,4,0,1,7,FR_OCC_12,115,13,41
2020-04-08,3,0,1,5,FR_OCC_12,118,14,46
2020-04-09,4,1,1,3,FR_OCC_12,122,15,49
2020-04-10,7,2,2,6,FR_OCC_12,129,17,55
2020-04-11,8,0,0,2,FR_OCC_12,137,17,57
2020-04-12,2,0,1,0,FR_OCC_12,139,18,57
2020-04-13,3,0,1,1,FR_OCC_12,142,19,58
2020-04-14,1,0,0,2,FR_OCC_12,143,19,60
2020-04-15,3,0,0,4,FR_OCC_12,146,19,64
2020-04-16,1,0,0,1,FR_OCC_12,147,19,65
2020-04-17,5,0,0,2,FR_OCC_12,152,19,67
2020-04-18,8,0,0,2,FR_OCC_12,160,19,69
2020-04-19,1,0,0,2,FR_OCC_12,161,19,71
2020-04-20,4,0,0,1,FR_OCC_12,165,19,72
2020-04-21,1,0,1,2,FR_OCC_12,166,20,74
2020-04-22,3,0,0,6,FR_OCC_12,169,20,80
2020-04-23,3,0,0,6,FR_OCC_12,172,20,86
2020-04-24,0,0,0,13,FR_OCC_12,172,20,99
2020-04-25,0,0,0,2,FR_OCC_12,172,20,101
2020-04-26,0,0,0,0,FR_OCC_12,172,20,101
2020-04-27,0,0,0,0,FR_OCC_12,172,20,101
2020-04-28,0,0,0,3,FR_OCC_12,172,20,104
2020-04-29,0,0,1,2,FR_OCC_12,172,21,106
2020-04-30,1,0,1,4,FR_OCC_12,173,22,110
2020-05-01,0,0,0,5,FR_OCC_12,173,22,115
2020-05-02,0,0,0,4,FR_OCC_12,173,22,119
2020-05-03,0,0,0,0,FR_OCC_12,173,22,119
2020-05-04,0,0,0,0,FR_OCC_12,173,22,119
2020-05-05,0,0,0,3,FR_OCC_12,173,22,122
2020-05-06,2,0,0,1,FR_OCC_12,175,22,123
2020-05-07,0,0,0,0,FR_OCC_12,175,22,123
2020-05-08,0,0,0,0,FR_OCC_12,175,22,123
2020-05-09,0,0,0,1,FR_OCC_12,175,22,124
2020-05-10,0,0,0,0,FR_OCC_12,175,22,124
2020-05-11,0,0,0,0,FR_OCC_12,175,22,124
2020-05-12,0,0,0,1,FR_OCC_12,175,22,125
2020-05-13,1,0,0,0,FR_OCC_12,176,22,125
2020-05-14,0,0,1,2,FR_OCC_12,176,23,127
2020-05-15,0,0,0,0,FR_OCC_12,176,23,127
2020-05-16,0,0,0,4,FR_OCC_12,176,23,131
2020-05-17,0,0,0,0,FR_OCC_12,176,23,131
2020-05-18,0,0,0,0,FR_OCC_12,176,23,131
2020-05-19,0,0,0,0,FR_OCC_12,176,23,131
2020-05-20,0,0,0,0,FR_OCC_12,176,23,131
2020-05-21,0,0,0,0,FR_OCC_12,176,23,131
2020-05-22,1,0,0,4,FR_OCC_12,177,23,135
2020-05-23,0,0,0,0,FR_OCC_12,177,23,135
