date,total_hospitalized_symptomatic,current_intensive_care,current_hospitalized,total_quarantined,current_confirmed,new_current_confirmed,new_confirmed,total_recovered,total_deceased,total_confirmed,total_tested,cases_tested?,key,new_hospitalized_symptomatic,new_quarantined,new_recovered,new_deceased,new_tested,total_current_confirmed
2020-04-27,20353,1956,22309,83504,105813,-290,1739,66624,26977,199414,1789662,1237317,IT,-1019,782,1696,333,32003,105592
2020-04-28,19723,1863,21586,83619,105205,-608,2091,68941,27359,201505,1846934,1274871,IT,-630,115,2317,382,57272,104984
2020-04-29,19210,1795,21005,83652,104657,-548,2086,71252,27682,203591,1910761,1313460,IT,-513,33,2311,323,63827,104436
2020-04-30,18149,1694,19843,81708,101551,-3106,1872,75945,27967,205463,1979217,1354901,IT,-1061,-1944,4693,285,68456,101330
2020-05-01,17569,1578,19147,81796,100943,-608,1965,78249,28236,207428,2053425,1398633,IT,-580,88,2304,269,74208,100722
2020-05-02,17357,1539,18896,81808,100704,-239,1900,79914,28710,209328,2108837,1429864,IT,-212,12,1665,474,55412,100483
2020-05-03,17242,1501,18743,81436,100179,-525,1389,81654,28884,210717,2153772,1456911,IT,-115,-372,1740,174,44935,99958
2020-05-04,16823,1479,18302,81678,99980,-199,1221,82879,29079,211938,2191403,1479910,IT,-419,242,1225,195,37631,99759
2020-05-05,16270,1427,17697,80770,98467,-1513,1075,85231,29315,213013,2246666,1512121,IT,-553,-908,2352,236,55263,98246
2020-05-06,15769,1333,17102,74426,91528,-6939,1444,93245,29684,214457,2310929,1549892,IT,-501,-6344,8014,369,64263,91307
2020-05-07,15174,1311,16485,73139,89624,-1904,1401,96276,29958,215858,2381288,1563557,IT,-595,-1287,3031,274,70359,89403
2020-05-08,14636,1168,15804,72157,87961,-1663,1327,99023,30201,217185,2445063,1608985,IT,-538,-982,2747,243,63775,87740
2020-05-09,13834,1034,14868,69974,84842,-3119,1083,103031,30395,218268,2514234,1645076,IT,-802,-2183,4008,194,69171,84621
2020-05-10,13618,1027,14645,68679,83324,-1518,802,105186,30560,219070,2565912,1676460,IT,-216,-1295,2155,165,51678,83103
2020-05-11,13539,999,14538,67950,82488,-836,744,106587,30739,219814,2606652,1702283,IT,-79,-729,1401,179,40740,82267
2020-05-12,12865,952,13817,67449,81266,-1222,1402,109039,30911,221216,2673655,1741903,IT,-674,-501,2452,172,67003,81045
2020-05-13,12172,893,13065,65392,78457,-2809,888,112541,31106,222104,2735628,1778952,IT,-693,-2057,3502,195,61973,78236
2020-05-14,11453,855,12308,64132,76440,-2017,992,115288,31368,223096,2807504,1820083,IT,-719,-1260,2747,262,71876,76219
2020-05-15,10792,808,11600,60470,72070,-4370,789,120205,31610,223885,2875680,1859110,IT,-661,-3662,4917,242,68176,71849
2020-05-16,10400,775,11175,59012,70187,-1883,875,122810,31763,224760,2944859,1899767,IT,-392,-1458,2605,153,69179,69966
2020-05-17,10311,762,11073,57278,68351,-1836,675,125176,31908,225435,3004960,1933272,IT,-89,-1734,2366,145,60101,68130
2020-05-18,10207,749,10956,55597,66553,-1798,451,127326,32007,225886,3041366,1959373,IT,-104,-1681,2150,99,36406,66332
2020-05-19,9991,716,10707,54422,65129,-1424,813,129401,32169,226699,3104524,1999599,IT,-216,-1175,2075,162,63158,64908
2020-05-20,9624,676,10300,52452,62752,-2377,665,132282,32330,227364,3171719,2038216,IT,-367,-1970,2881,161,67195,62531
2020-05-21,9269,640,9909,51051,60960,-1792,642,134560,32486,228006,3243398,2078860,IT,-355,-1401,2278,156,71679,60739
2020-05-22,8957,595,9552,49770,59322,-1638,652,136720,32616,228658,3318778,2121847,IT,-312,-1281,2160,130,75380,59101
2020-05-23,8695,572,9267,48485,57752,-1570,669,138840,32735,229327,3391188,2164426,IT,-262,-1285,2120,119,72410,57531
2020-05-24,8613,553,9166,47428,56594,-1158,531,140479,32785,229858,3447012,2198632,IT,-82,-1057,1639,50,55824,56373
2020-05-25,8185,541,8726,46574,55300,-1294,300,141981,32877,230158,3482253,2219308,IT,-428,-854,1502,92,35241,55079
2020-05-26,7917,521,8438,44504,52942,-2358,397,144658,32955,230555,3539927,2253252,IT,-268,-2070,2677,78,57674,52721
2020-05-27,7729,505,8234,42732,50966,-1976,584,147101,33072,231139,3607251,2290551,IT,-188,-1772,2443,117,67324,50745
2020-05-28,7379,489,7868,40118,47986,-2980,593,150604,33142,231732,3683144,2330389,IT,-350,-2614,3503,70,75893,47765
2020-05-29,7094,475,7569,38606,46175,-1811,516,152844,33229,232248,3755279,2368622,IT,-285,-1512,2240,87,72135,45954
2020-05-30,6680,450,7130,36561,43691,-2484,416,155633,33340,232664,3824621,2404673,IT,-414,-2045,2789,111,69342,43470
2020-05-31,6387,435,6822,35275,42097,-1594,355,157507,33415,233019,3878739,2433621,IT,-293,-1286,1874,75,54118,41876
2020-06-01,6099,424,6523,34844,41367,-730,178,158355,33475,233197,3910133,2451674,IT,-288,-431,848,60,31394,41146
2020-06-02,5916,408,6324,33569,39893,-1474,318,160092,33530,233515,3962292,2477302,IT,-183,-1275,1737,55,52159,39672
2020-06-03,5742,353,6095,33202,39297,-596,321,160938,33601,233836,3999591,2497337,IT,-174,-367,846,71,37299,39076
2020-06-04,5503,338,5841,32588,38429,-868,177,161895,33689,234013,4049544,2524788,IT,-239,-614,957,88,49953,38208
2020-06-05,5301,316,5617,31359,36976,-1453,518,163781,33774,234531,4114572,2565258,IT,-202,-1229,1886,85,65028,36755
2020-06-06,5002,293,5295,30582,35877,-1099,270,165078,33846,234801,4187057,2599294,IT,-299,-777,1297,72,72485,35656
2020-06-07,4864,287,5151,30111,35262,-615,197,165837,33899,234998,4236535,2627188,IT,-138,-471,759,53,49478,35041
2020-06-08,4729,283,5012,29718,34730,-532,280,166584,33964,235278,4263647,2643489,IT,-135,-393,747,65,27112,34509
2020-06-09,4581,263,4844,28028,32872,-1858,283,168646,34043,235561,4318650,2675689,IT,-148,-1690,2062,79,55003,32651
2020-06-10,4320,249,4569,27141,31710,-1162,202,169939,34114,235763,4381349,2713554,IT,-261,-887,1293,71,62699,31489
2020-06-11,4131,236,4367,26270,30637,-1073,379,171338,34167,236142,4443821,2746545,IT,-189,-871,1399,53,62472,30416
2020-06-12,3893,227,4120,24877,28997,-1640,163,173085,34223,236305,4514441,2784196,IT,-238,-1393,1747,56,70620,28776
2020-06-13,3747,220,3967,23518,27485,-1512,346,174865,34301,236651,4564191,2817076,IT,-146,-1359,1780,78,49750,27264
2020-06-14,3594,209,3803,22471,26274,-1211,338,176370,34345,236989,4620718,2846621,IT,-153,-1047,1505,44,56527,26053
2020-06-15,3489,207,3696,22213,25909,-365,303,177010,34371,237290,4648825,2864084,IT,-105,-258,640,26,28107,25688
2020-06-16,3301,177,3478,21091,24569,-1340,210,178526,34405,237500,4695707,2891846,IT,-188,-1122,1516,34,46882,24348
2020-06-17,3113,163,3276,20649,23925,-644,329,179455,34448,237828,4773408,2925803,IT,-188,-442,929,43,77701,23704
2020-06-18,2867,168,3035,20066,23101,-824,333,180544,34514,238159,4831562,2958724,IT,-246,-583,1089,66,58154,22880
2020-06-19,2632,161,2793,18750,21543,-1558,251,181907,34561,238011,4889103,2987294,IT,-235,-1316,1363,47,57541,21322
2020-06-20,2474,152,2626,18586,21212,-331,262,182453,34610,238275,4943825,3017169,IT,-158,-164,546,49,54722,20991
2020-06-21,2314,148,2462,18510,20972,-240,224,182893,34634,238499,4984370,3041750,IT,-160,-76,440,24,40545,20751
2020-06-22,2038,127,2165,18472,20637,-335,218,183426,34657,238720,5013342,3057902,IT,-276,-38,533,23,28972,20416
2020-06-23,1853,115,1968,17605,19573,-1064,122,184585,34675,238833,5053827,3081127,IT,-185,-867,1159,18,40485,19352
2020-06-24,1610,107,1717,16938,18655,-918,190,186111,34644,239410,5107093,3111364,IT,-243,-667,1526,-31,53266,18434
