Date,Country,Indicator,Value
2020-03-11,UK,Deaths,7
2020-03-11,UK,Tests,27476
2020-03-11,Wales,ConfirmedCases,32
2020-03-11,Wales,Deaths,0
2020-03-11,Wales,Tests,49
2020-03-12,England,ConfirmedCases,1575
2020-03-12,England,Deaths,9
2020-03-12,Northern Ireland,ConfirmedCases,20
2020-03-12,Northern Ireland,Deaths,0
2020-03-12,Northern Ireland,Tests,902
2020-03-12,Scotland,ConfirmedCases,60
2020-03-12,Scotland,Deaths,0
2020-03-12,Scotland,Tests,2892
2020-03-12,UK,ConfirmedCases,590
2020-03-12,UK,Deaths,9
2020-03-12,UK,Tests,29764
2020-03-12,Wales,ConfirmedCases,56
2020-03-12,Wales,Deaths,0
2020-03-12,Wales,Tests,74
2020-03-13,England,ConfirmedCases,1966
2020-03-13,England,Deaths,10
2020-03-13,Northern Ireland,ConfirmedCases,31
2020-03-13,Northern Ireland,Deaths,0
2020-03-13,Northern Ireland,Tests,1036
2020-03-13,Scotland,ConfirmedCases,85
2020-03-13,Scotland,Deaths,1
2020-03-13,Scotland,Tests,3314
2020-03-13,UK,ConfirmedCases,797
2020-03-13,UK,Deaths,10
2020-03-13,UK,Tests,32771
2020-03-13,Wales,ConfirmedCases,83
2020-03-13,Wales,Deaths,0
2020-03-13,Wales,Tests,105
2020-03-14,England,ConfirmedCases,2281
2020-03-14,England,Deaths,28
2020-03-14,Northern Ireland,ConfirmedCases,41
2020-03-14,Northern Ireland,Deaths,0
2020-03-14,Northern Ireland,Tests,1159
2020-03-14,Scotland,ConfirmedCases,121
2020-03-14,Scotland,Deaths,1
2020-03-14,Scotland,Tests,3715
2020-03-14,UK,ConfirmedCases,1061
2020-03-14,UK,Deaths,28
2020-03-14,UK,Tests,37746
2020-03-14,Wales,ConfirmedCases,103
2020-03-14,Wales,Deaths,0
2020-03-14,Wales,Tests,127
2020-03-15,England,ConfirmedCases,2678
2020-03-15,England,Deaths,42
2020-03-15,Northern Ireland,ConfirmedCases,43
2020-03-15,Northern Ireland,Deaths,0
2020-03-15,Northern Ireland,Tests,1267
2020-03-15,Scotland,ConfirmedCases,153
2020-03-15,Scotland,Deaths,1
2020-03-15,Scotland,Tests,4240
2020-03-15,UK,ConfirmedCases,1391
2020-03-15,UK,Deaths,43
2020-03-15,UK,Tests,40279
2020-03-15,Wales,ConfirmedCases,134
2020-03-15,Wales,Deaths,0
2020-03-15,Wales,Tests,158
2020-03-16,England,ConfirmedCases,3224
2020-03-16,England,Deaths,64
2020-03-16,Northern Ireland,ConfirmedCases,51
2020-03-16,Northern Ireland,Deaths,0
2020-03-16,Northern Ireland,Tests,1421
2020-03-16,Scotland,ConfirmedCases,171
2020-03-16,Scotland,Deaths,1
2020-03-16,Scotland,Tests,4895
2020-03-16,UK,ConfirmedCases,1543
2020-03-16,UK,Deaths,65
2020-03-16,UK,Tests,44105
2020-03-16,Wales,ConfirmedCases,168
2020-03-16,Wales,Deaths,3
2020-03-16,Wales,Tests,198
2020-03-17,England,ConfirmedCases,3904
2020-03-17,England,Deaths,79
2020-03-17,Northern Ireland,ConfirmedCases,60
2020-03-17,Northern Ireland,Deaths,0
2020-03-17,Northern Ireland,Tests,1551
2020-03-17,Scotland,ConfirmedCases,195
