key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_FL_0034,2020-06-26,-1,124,,,,,,,
NL_FL_0050,2020-06-26,0,12,,,,,,,
NL_FL_0171,2020-06-26,0,14,,,,,,,
NL_FL_0184,2020-06-26,0,22,,,,,,,
NL_FL_0303,2020-06-26,0,30,,,,,,,
NL_FL_0995,2020-06-26,0,64,,,,,,,
NL_FR,2020-06-26,0,130,,,,,,,
NL_FR_0059,2020-06-26,0,0,,,,,,,
NL_FR_0060,2020-06-26,0,0,,,,,,,
NL_FR_0072,2020-06-26,0,4,,,,,,,
NL_FR_0074,2020-06-26,0,13,,,,,,,
NL_FR_0080,2020-06-26,0,33,,,,,,,
NL_FR_0085,2020-06-26,0,3,,,,,,,
NL_FR_0086,2020-06-26,0,7,,,,,,,
NL_FR_0088,2020-06-26,0,0,,,,,,,
NL_FR_0090,2020-06-26,0,9,,,,,,,
NL_FR_0093,2020-06-26,0,0,,,,,,,
NL_FR_0096,2020-06-26,0,0,,,,,,,
NL_FR_0098,2020-06-26,0,3,,,,,,,
NL_FR_0737,2020-06-26,0,4,,,,,,,
NL_FR_1891,2020-06-26,0,2,,,,,,,
NL_FR_1900,2020-06-26,0,18,,,,,,,
NL_FR_1940,2020-06-26,0,16,,,,,,,
NL_FR_1949,2020-06-26,0,12,,,,,,,
NL_FR_1970,2020-06-26,0,6,,,,,,,
NL_GE,2020-06-26,1,1507,,,,,,,
NL_GE_0197,2020-06-26,0,9,,,,,,,
NL_GE_0200,2020-06-26,0,92,,,,,,,
NL_GE_0202,2020-06-26,0,68,,,,,,,
NL_GE_0203,2020-06-26,0,18,,,,,,,
NL_GE_0209,2020-06-26,0,19,,,,,,,
NL_GE_0213,2020-06-26,0,17,,,,,,,
NL_GE_0214,2020-06-26,0,17,,,,,,,
NL_GE_0216,2020-06-26,0,21,,,,,,,
NL_GE_0221,2020-06-26,0,9,,,,,,,
NL_GE_0222,2020-06-26,0,26,,,,,,,
NL_GE_0225,2020-06-26,0,25,,,,,,,
NL_GE_0226,2020-06-26,0,14,,,,,,,
NL_GE_0228,2020-06-26,0,54,,,,,,,
NL_GE_0230,2020-06-26,0,28,,,,,,,
NL_GE_0232,2020-06-26,0,47,,,,,,,
NL_GE_0233,2020-06-26,0,33,,,,,,,
NL_GE_0243,2020-06-26,0,43,,,,,,,
NL_GE_0244,2020-06-26,0,16,,,,,,,
NL_GE_0246,2020-06-26,0,54,,,,,,,
NL_GE_0252,2020-06-26,0,17,,,,,,,
NL_GE_0262,2020-06-26,0,14,,,,,,,
NL_GE_0263,2020-06-26,0,15,,,,,,,
NL_GE_0267,2020-06-26,0,22,,,,,,,
NL_GE_0268,2020-06-26,0,128,,,,,,,
NL_GE_0269,2020-06-26,0,40,,,,,,,
NL_GE_0273,2020-06-26,0,10,,,,,,,
NL_GE_0274,2020-06-26,0,14,,,,,,,
NL_GE_0275,2020-06-26,0,34,,,,,,,
NL_GE_0277,2020-06-26,0,1,,,,,,,
NL_GE_0279,2020-06-26,0,4,,,,,,,
NL_GE_0281,2020-06-26,0,42,,,,,,,
NL_GE_0285,2020-06-26,0,18,,,,,,,
NL_GE_0289,2020-06-26,0,20,,,,,,,
NL_GE_0293,2020-06-26,0,12,,,,,,,
NL_GE_0294,2020-06-26,0,7,,,,,,,
NL_GE_0296,2020-06-26,0,43,,,,,,,
NL_GE_0297,2020-06-26,0,20,,,,,,,
NL_GE_0299,2020-06-26,0,44,,,,,,,
NL_GE_0301,2020-06-26,0,31,,,,,,,
NL_GE_0302,2020-06-26,0,56,,,,,,,
NL_GE_0668,2020-06-26,0,19,,,,,,,
NL_GE_1509,2020-06-26,0,21,,,,,,,
NL_GE_1586,2020-06-26,0,17,,,,,,,
NL_GE_1705,2020-06-26,0,31,,,,,,,
